name,abbrv,color,affiliation,coauthored
Torsten Kuhlen,T. Kuhlen,#ffc0cb,RWTH Aachen,0
Anna Rumshisky,A. Rumshisky,#32CD32,University of Massachusetts Lowell,1
Kate Saenko,K. Saenko,#32CD32,Boston University,1
Finale Doshi-Velez,F. Doshi-Velez,#32CD32,Harvard University,1
Peter Szolovits,P. Szolovits,#32CD32,Massachusetts Institute of Technology,1
Marzyeh Ghassemi,M. Ghassemi,#32CD32,University of Toronto,1
Wensheng Zhang,W. Zhang,#00bfff,none,0
Zygmunt Haas,Z. Haas,#00bfff,none,0
Ian Witten,I. Witten,#32CD32,none,1
Eibe Frank,E. Frank,#32CD32,University of Waikato,1
J. Herrmann,J. Herrmann,#ffc0cb,none,0
Shai Shalev-Shwartz,S. Shalev-Shwartz,#32CD32,Hebrew University of Jerusalem,1
Amir Globerson,A. Globerson,#32CD32,Tel Aviv University,1
Sivan Sabato,S. Sabato,#32CD32,Ben-Gurion University of the Negev,1
Nathan Linial,N. Linial,#ffc0cb,Hebrew University of Jerusalem,1
Nathan Srebro,N. Srebro,#32CD32,TTI Chicago,1
Amit Daniely,A. Daniely,#32CD32,Hebrew University of Jerusalem,1
Elad Hazan,E. Hazan,#32CD32,Princeton University,1
Yoram Singer,Y. Singer,#32CD32,Princeton University,1
John Duchi,J. Duchi,#32CD32,none,1
Sham Kakade,S. Kakade,#32CD32,University of Washington,1
Karthik Sridharan,K. Sridharan,#32CD32,Cornell University,1
Shai Ben-David,S. Ben-David,#32CD32,University of Waterloo,1
Amnon Shashua,A. Shashua,#32CD32,Hebrew University of Jerusalem,1
Francesco Orabona,F. Orabona,#32CD32,Boston University,1
Ohad Ben-Shahar,O. Ben-Shahar,#32CD32,Ben-Gurion University of the Negev,1
Steven Gortler,S. Gortler,#32CD32,none,1
Stefano Lonardi,S. Lonardi,#ffc0cb,University of California - Riverside,1
Gianfranco Ciardo,G. Ciardo,#ffc0cb,Iowa State University,1
László Babai,L. Babai,#ffff00,University of Chicago,1
Joshua Grochow,J. Grochow,#ffff00,none,1
Xiaorui Sun,X. Sun,#ffff00,University of Illinois at Chicago,1
Shang-Hua Teng,S. Teng,#ffff00,University of Southern California,1
Seth Hutchinson,S. Hutchinson,#ffc0cb,Georgia Institute of Technology,1
David Johnson,D. Johnson,#ffc0cb,University of Kansas,0
Timothy Bretl,T. Bretl,#ffc0cb,Univ. of Illinois at Urbana-Champaign,1
Jinxiang Chai,J. Chai,#ffc0cb,Texas A&M University,1
Jingyi Yu,J. Yu,#32CD32,University of Delaware,1
Jessica Hodgins,J. Hodgins,#ffc0cb,none,1
Feng 0005,F. 0005,#ffc0cb,none,1
C. Liu,C. Liu,#ffc0cb,none,1
Chao Li,C. Li,#32CD32,Shanghai Jiao Tong University,1
B. Prabhakaran,B. Prabhakaran,#ffc0cb,University of Texas at Dallas,1
Xiaohu Guo,X. Guo,#ffc0cb,University of Texas at Dallas,1
Alfred Weaver,A. Weaver,#d3d3d3,none,0
Kirill Levchenko,K. Levchenko,#00bfff,Univ. of Illinois at Urbana-Champaign,1
Stefan Savage,S. Savage,#00bfff,University of California - San Diego,1
Vern Paxson,V. Paxson,#00bfff,University of California - Berkeley,1
Geoffrey Voelker,G. Voelker,#00bfff,none,1
Damon McCoy,D. McCoy,#00bfff,New York University,1
Paul Pearce,P. Pearce,#00bfff,Georgia Institute of Technology,1
Alex Snoeren,A. Snoeren,#00bfff,none,1
Juan Caballero,J. Caballero,#00bfff,IMDEA Software Institute,1
