name,abbrv,color,coauthored
Petri Vuorimaa,P. Vuorimaa,#ffc0cb,0
Aki Vehtari,A. Vehtari,#ffc0cb,0
Antti Oulasvirta,A. Oulasvirta,#ffc0cb,1
Samuel Kaski,S. Kaski,#32CD32,1
Aristides Gionis,A. Gionis,#32CD32,1
Heikki Mannila,H. Mannila,#32CD32,1
Juho Rousu,J. Rousu,#ffc0cb,1
Marko Nieminen,M. Nieminen,#ffc0cb,0
Lauri Malmi,L. Malmi,#d3d3d3,0
Perttu Hämäläinen,P. Hämäläinen,#ffc0cb,1
Jaakko Lehtinen,J. Lehtinen,#ffc0cb,1
Lauri Savioja,L. Savioja,#ffc0cb,0
Jukka Suomela,J. Suomela,#ffff00,1
Petteri Kaski,P. Kaski,#ffff00,1
Juho Kannala,J. Kannala,#32CD32,0
Tuomas Aura,T. Aura,#ffc0cb,1
Mario Di Francesco,M. Di Francesco,#ffc0cb,1
Kari Smolander,K. Smolander,#d3d3d3,0
Keijo Heljanko,K. Heljanko,#ffff00,0
Eljas Soisalon-Soininen,E. Soisalon-Soininen,#00bfff,0
Casper Lassenius,C. Lassenius,#00bfff,0
Harri Lähdesmäki,H. Lähdesmäki,#ffc0cb,0
Antti Ylä-Jääski,A. Ylä-Jääski,#00bfff,0
Virpi Roto,V. Roto,#ffc0cb,0
David McGookin,D. McGookin,#ffc0cb,0
Juha Karhunen,J. Karhunen,#32CD32,0
Andrés Lucero,A. Lucero,#ffc0cb,0
Parinya Chalermsook,P. Chalermsook,#ffff00,0
N. Asokan,N. Asokan,#00bfff,0
