name,abbrv,color,coauthored
Olivier Danvy,O. Danvy,#d3d3d3,0
Peyman Afshani,P. Afshani,#ffff00,1
Gerth Brodal,G. Brodal,#ffff00,1
Kasper Larsen,K. Larsen,#ffff00,1
Lars Arge,L. Arge,#ffff00,1
Kaj Grønbæk,K. Grønbæk,#ffc0cb,0
Christian Pedersen,C. Pedersen,#ffff00,1
Morten Kyng,M. Kyng,#ffc0cb,0
Kristoffer Hansen,K. Hansen,#ffff00,0
Jesper Nielsen,J. Nielsen,#ffff00,1
Ivan Damgård,I. Damgård,#ffff00,1
Claudio Orlandi,C. Orlandi,#ffff00,1
Aslan Askarov,A. Askarov,#00bfff,0
Ira Assent,I. Assent,#00bfff,0
Susanne Bødker,S. Bødker,#ffc0cb,1
Niels Bouvin,N. Bouvin,#ffc0cb,1
Anders Møller,A. Møller,#00bfff,0
Lars Birkedal,L. Birkedal,#00bfff,0
Marianne Petersen,M. Petersen,#ffc0cb,0
Jo Vermeulen,J. Vermeulen,#ffc0cb,0
Eve Hoggan,E. Hoggan,#ffc0cb,0
Panagiotis Karras,P. Karras,#00bfff,0
