name,abbrv,color,coauthored
Violet Syrotiuk,V. Syrotiuk,#d3d3d3,0
Subbarao Kambhampati,S. Kambhampati,#32CD32,0
K. Candan,K. Candan,#00bfff,1
Jingrui He,J. He,#32CD32,1
Hasan Davulcu,H. Davulcu,#32CD32,1
Joohyung Lee,J. Lee,#32CD32,1
Chitta Baral,C. Baral,#32CD32,1
Guoliang Xue,G. Xue,#00bfff,0
Tiffany Bao,T. Bao,#00bfff,1
Yan Shoshitaishvili,Y. Shoshitaishvili,#00bfff,1
Ruoyu Wang,R. Wang,#00bfff,1
Heni Amor,H. Amor,#ffc0cb,0
Rida Bazzi,R. Bazzi,#00bfff,0
Mohamed Sarwat,M. Sarwat,#00bfff,0
Gail-Joon Ahn,G. Ahn,#00bfff,1
Adam Doupé,A. Doupé,#00bfff,1
Carole-Jean Wu,C. Wu,#00bfff,1
Aviral Shrivastava,A. Shrivastava,#00bfff,1
Hanghang Tong,H. Tong,#32CD32,1
Erin Walker,E. Walker,#ffc0cb,0
Ming Zhao,M. Zhao,#32CD32,0
Huan Liu,H. Liu,#ffc0cb,0
Baoxin Li,B. Li,#32CD32,0
Charles Colbourn,C. Colbourn,#00bfff,0
Ross Maciejewski,R. Maciejewski,#ffc0cb,1
Andréa Richa,A. Richa,#ffff00,0
Yezhou Yang,Y. Yang,#32CD32,0
Yalin Wang,Y. Wang,#32CD32,0
Georgios Fainekos,G. Fainekos,#ffc0cb,0
Sandeep Gupta,S. Gupta,#00bfff,0
Siddharth Srivastava,S. Srivastava,#32CD32,0
