name,abbrv,color,coauthored
Uwe Zimmer,U. Zimmer,#ffc0cb,0
Richard Brent,R. Brent,#d3d3d3,0
Stephen Gould,S. Gould,#32CD32,1
Jochen Renz,J. Renz,#32CD32,1
Basura Fernando,B. Fernando,#32CD32,1
Marcus Hutter,M. Hutter,#32CD32,1
Anoop Cherian,A. Cherian,#32CD32,1
Hongdong Li,H. Li,#32CD32,1
Richard Hartley,R. Hartley,#32CD32,1
Yuchao Dai,Y. Dai,#32CD32,1
Jonghyuk Kim,J. Kim,#ffc0cb,1
Laurent Kneip,L. Kneip,#ffc0cb,1
Changbin Yu,C. Yu,#ffc0cb,1
Fatih Porikli,F. Porikli,#32CD32,1
Parastoo Sadeghi,P. Sadeghi,#32CD32,1
Rodney Kennedy,R. Kennedy,#32CD32,1
Lexing Xie,L. Xie,#32CD32,1
Marian-Andrei Rizoiu,M. Rizoiu,#32CD32,1
Peter Christen,P. Christen,#32CD32,1
Brian Anderson,B. Anderson,#00bfff,1
Chuong Nguyen,C. Nguyen,#ffc0cb,1
Robert Mahony,R. Mahony,#ffc0cb,1
Hassan Hijazi,H. Hijazi,#32CD32,1
Sylvie Thiébaux,S. Thiébaux,#32CD32,1
John Slaney,J. Slaney,#32CD32,1
Henry Gardner,H. Gardner,#ffc0cb,1
Ben Swift,B. Swift,#ffc0cb,1
Alistair Rendell,A. Rendell,#00bfff,1
Peter Strazdins,P. Strazdins,#d3d3d3,1
Robert Williamson,R. Williamson,#32CD32,1
Mark Reid,M. Reid,#32CD32,1
Jochen Trumpf,J. Trumpf,#32CD32,1
Enrico Scala,E. Scala,#32CD32,1
Patrik Haslum,P. Haslum,#32CD32,1
Rajeev Goré,R. Goré,#00bfff,0
Zhenchang Xing,Z. Xing,#00bfff,0
Dongwoo Kim,D. Kim,#32CD32,0
Weifa Liang,W. Liang,#00bfff,0
Xiaolei Hou,X. Hou,#ffc0cb,1
Uwe Zimmer,U. Zimmer,#ffc0cb,0
Bob Williamson,B. Williamson,#32CD32,0
Ijaz Akhter,I. Akhter,#32CD32,0
Stephen Blackburn,S. Blackburn,#00bfff,1
Antony Hosking,A. Hosking,#00bfff,1
Tamás Gedeon,T. Gedeon,#ffc0cb,0
Armin Haller,A. Haller,#32CD32,0
Viorela Ila,V. Ila,#ffc0cb,1
Dirk Pattinson,D. Pattinson,#32CD32,0
Daniel Walter,D. Walter,#32CD32,0
