name,abbrv,color,coauthored
Ely Porat,E. Porat,#ffff00,1
Tali Kaufman,T. Kaufman,#ffff00,1
Amihood Amir,A. Amir,#ffff00,1
Yonatan Aumann,Y. Aumann,#32CD32,1
Yoav Goldberg,Y. Goldberg,#32CD32,1
Ido Dagan,I. Dagan,#32CD32,1
Moshe Koppel,M. Koppel,#32CD32,1
Joseph Keshet,J. Keshet,#32CD32,1
Sarit Kraus,S. Kraus,#32CD32,1
Yael Amsterdamer,Y. Amsterdamer,#00bfff,0
Gal Kaminka,G. Kaminka,#32CD32,1
Noa Agmon,N. Agmon,#ffc0cb,1
David Sarne,D. Sarne,#32CD32,1
Liam Roditty,L. Roditty,#ffff00,1
Moshe Lewenstein,M. Lewenstein,#ffff00,1
Doron Peled,D. Peled,#ffff00,0
Avinatan Hassidim,A. Hassidim,#32CD32,1
Nathan Netanyahu,N. Netanyahu,#32CD32,0
Yehuda Lindell,Y. Lindell,#ffff00,1
Benny Pinkas,B. Pinkas,#00bfff,1
Amir Herzberg,A. Herzberg,#32CD32,0
