name,abbrv,color,coauthored
Zhoujun Li,Z. Li,#32CD32,1
Xiaoming Zhang,X. Zhang,#32CD32,1
Weifeng Lv,W. Lv,#32CD32,1
Yongxin Tong,Y. Tong,#00bfff,1
Bo Lang,B. Lang,#32CD32,0
Xiao Bai,X. Bai,#32CD32,0
Li Zhang,L. Zhang,#32CD32,0
Yue Qi,Y. Qi,#ffc0cb,0
Shuzhen Yao,S. Yao,#00bfff,0
Xiang Long,X. Long,#00bfff,0
Xudong Liu,X. Liu,#32CD32,1
Hailong Sun,H. Sun,#32CD32,1
Feng 0005,F. 0005,#32CD32,1
Jia Li,J. Li,#32CD32,1
Ke Xu,K. Xu,#32CD32,1
Kai Hu,K. Hu,#ffc0cb,0
Depei Qian,D. Qian,#00bfff,0
Zhang Xiong,Z. Xiong,#32CD32,0
Qinping Zhao,Q. Zhao,#32CD32,1
Aimin Hao,A. Hao,#ffc0cb,1
Shuai Li,S. Li,#ffc0cb,1
Yunhong Wang,Y. Wang,#32CD32,0
Chunming Hu,C. Hu,#00bfff,1
Jinpeng Huai,J. Huai,#00bfff,1
Shuai Ma,S. Ma,#00bfff,1
Wei 0008,W. 0008,#ffc0cb,1
Zhong Zhou,Z. Zhou,#32CD32,1
Jianxin Li,J. Li,#32CD32,1
Bo 0005,B. 0005,#32CD32,1
Jianwei Niu,J. Niu,#00bfff,0
Sebastian Wandelt,S. Wandelt,#00bfff,0
