name,abbrv,color,coauthored
Ohad Ben-Shahar,O. Ben-Shahar,#32CD32,0
Rami Puzis,R. Puzis,#32CD32,1
Ariel Felner,A. Felner,#32CD32,1
Roni Stern,R. Stern,#32CD32,1
Meir Kalech,M. Kalech,#32CD32,1
Ya'akov Gal,Y. Gal,#32CD32,1
Michael Elhadad,M. Elhadad,#32CD32,0
Solomon Shimony,S. Shimony,#32CD32,1
Guy Shani,G. Shani,#32CD32,1
Ronen Brafman,R. Brafman,#32CD32,1
Sivan Sabato,S. Sabato,#32CD32,1
Aryeh Kontorovich,A. Kontorovich,#32CD32,1
Roie Zivan,R. Zivan,#32CD32,0
Aharon Bar-Hillel,A. Bar-Hillel,#32CD32,0
