name,abbrv,color,coauthored
Yifan Zhang,Y. Zhang,#ffc0cb,0
Kartik Gopalan,K. Gopalan,#00bfff,0
Kenneth Chiu,K. Chiu,#00bfff,1
Madhusudhan Govindaraju,M. Govindaraju,#00bfff,1
Yan Wang,Y. Wang,#00bfff,0
Yao Liu,Y. Liu,#00bfff,0
Hui Lu,H. Lu,#00bfff,0
Arti Ramesh,A. Ramesh,#32CD32,0
Aravind Prakash,A. Prakash,#d3d3d3,0
Zhongfei Zhang,Z. Zhang,#32CD32,0
Kanad Ghose,K. Ghose,#00bfff,1
Dmitry Ponomarev,D. Ponomarev,#00bfff,1
Lei Yu,L. Yu,#32CD32,1
Yu Liu,Y. Liu,#00bfff,0
Guanhua Yan,G. Yan,#00bfff,0
Weiyi Meng,W. Meng,#00bfff,0
Ping Yang,P. Yang,#00bfff,0
Shiqi Zhang,S. Zhang,#32CD32,0
Michael Lewis,M. Lewis,#00bfff,0
Xi 0005,X. 0005,#32CD32,0
Mo Sha,M. Sha,#00bfff,0
Lijun Yin,L. Yin,#32CD32,0
Seunghee Shin,S. Shin,#00bfff,0
Kyoung-Don Kang,K. Kang,#00bfff,0
