name,abbrv,color,coauthored
Emily Whiting,E. Whiting,#ffc0cb,0
Evimaria Terzi,E. Terzi,#32CD32,1
Mark Crovella,M. Crovella,#00bfff,1
Azer Bestavros,A. Bestavros,#00bfff,1
John Byers,J. Byers,#00bfff,1
Brian Kulis,B. Kulis,#32CD32,1
Kate Saenko,K. Saenko,#32CD32,1
Ran Canetti,R. Canetti,#ffff00,1
George Kollios,G. Kollios,#00bfff,1
Leonid Reyzin,L. Reyzin,#ffff00,1
Adam Smith,A. Smith,#ffff00,1
Sofya Raskhodnikova,S. Raskhodnikova,#ffff00,1
Lorenzo Orecchia,L. Orecchia,#ffff00,1
Venkatesh Saligrama,V. Saligrama,#32CD32,1
Margrit Betke,M. Betke,#32CD32,1
Stan Sclaroff,S. Sclaroff,#32CD32,1
Charalampos Tsourakakis,C. Tsourakakis,#32CD32,0
David Starobinski,D. Starobinski,#d3d3d3,0
Renato Mancuso,R. Mancuso,#00bfff,0
Alina Ene,A. Ene,#ffff00,0
Francesco Orabona,F. Orabona,#32CD32,0
Sharon Goldberg,S. Goldberg,#00bfff,1
Manuel Egele,M. Egele,#00bfff,1
Gianluca Stringhini,G. Stringhini,#00bfff,1
Richard West,R. West,#00bfff,0
Jonathan Appavoo,J. Appavoo,#00bfff,0
