name,abbrv,color,coauthored
Andreas Zeller,A. Zeller,#00bfff,0
Jilles Vreeken,J. Vreeken,#32CD32,0
Nico Döttling,N. Döttling,#ffff00,0
Nils Tippenhauer,N. Tippenhauer,#00bfff,0
Mario Fritz,M. Fritz,#32CD32,0
Michael Backes,M. Backes,#00bfff,1
Stefan Nürnberger,S. Nürnberger,#00bfff,1
Sven Bugiel,S. Bugiel,#00bfff,1
Christian Rossow,C. Rossow,#00bfff,1
Ben Stock,B. Stock,#00bfff,1
Bernd Finkbeiner,B. Finkbeiner,#ffff00,0
Katharina Krombholz,K. Krombholz,#00bfff,0
Swen Jacobs,S. Jacobs,#ffff00,0
Cas Cremers,C. Cremers,#00bfff,0
