name,abbrv,color,coauthored
Changhe Yuan,C. Yuan,#32CD32,0
Peter Braß,P. Braß,#ffc0cb,1
Jizhong Xiao,J. Xiao,#ffc0cb,1
Rivka Levitan,R. Levitan,#32CD32,0
Devorah Kletenik,D. Kletenik,#ffff00,0
Zhigang Zhu,Z. Zhu,#ffc0cb,1
Theodore Raphan,T. Raphan,#ffc0cb,1
Ioannis Stamos,I. Stamos,#32CD32,0
Spiridon Bakiras,S. Bakiras,#00bfff,0
Leonid Gurvits,L. Gurvits,#ffff00,0
Rosario Gennaro,R. Gennaro,#ffff00,1
Nelly Fazio,N. Fazio,#ffff00,1
William Skeith,W. Skeith,#ffff00,1
Saad Mneimneh,S. Mneimneh,#d3d3d3,0
Michael Kress,M. Kress,#32CD32,0
Ping Ji,P. Ji,#32CD32,0
Lei 0006,L. 0006,#ffc0cb,0
Jianting Zhang,J. Zhang,#d3d3d3,0
George Wolberg,G. Wolberg,#32CD32,1
Matthew Johnson,M. Johnson,#32CD32,1
Amotz Bar-Noy,A. Bar-Noy,#00bfff,1
Dina Sokol,D. Sokol,#ffc0cb,0
Michael Mandel,M. Mandel,#00bfff,0
Brian Murphy,B. Murphy,#32CD32,0
Ying-li Tian,Y. Tian,#32CD32,0
Shweta Jain,S. Jain,#00bfff,0
