name,abbrv,color,coauthored
Marc Stevens,M. Stevens,#ffff00,0
Harry Buhrman,H. Buhrman,#ffff00,1
Serge Fehr,S. Fehr,#ffff00,1
Hannes Mühleisen,H. Mühleisen,#00bfff,0
Sander Bohte,S. Bohte,#32CD32,0
Frank de Boer,F. de Boer,#ffff00,0
Paul Klint,P. Klint,#d3d3d3,1
Jurgen Vinju,J. Vinju,#d3d3d3,1
Tijs van der Storm,T. van der Storm,#00bfff,0
Laura Hollink,L. Hollink,#32CD32,0
Michael Kaisers,M. Kaisers,#32CD32,0
Peter Grünwald,P. Grünwald,#32CD32,0
Peter Boncz,P. Boncz,#00bfff,1
Stefan Manegold,S. Manegold,#00bfff,1
Martin Kersten,M. Kersten,#00bfff,1
Ronald Cramer,R. Cramer,#ffff00,1
Joke Blom,J. Blom,#ffc0cb,0
Ronald de Wolf,R. de Wolf,#ffff00,0
Robert van Liere,R. van Liere,#ffc0cb,0
Jan Rutten,J. Rutten,#ffff00,0
Jop Briët,J. Briët,#ffff00,0
