name,abbrv,color,coauthored
Sonia Chiasson,S. Chiasson,#00bfff,1
Paul van Oorschot,P. van Oorschot,#00bfff,1
Robert Biddle,R. Biddle,#00bfff,1
Anil Somayaji,A. Somayaji,#00bfff,1
Oliver van Kaick,O. van Kaick,#ffc0cb,0
Tony White,T. White,#32CD32,0
Evangelos Kranakis,E. Kranakis,#d3d3d3,0
Prosenjit Bose,P. Bose,#ffff00,1
Pat Morin,P. Morin,#ffff00,1
Anil Maheshwari,A. Maheshwari,#ffff00,1
Yuhong Guo,Y. Guo,#32CD32,0
Nicola Santoro,N. Santoro,#d3d3d3,0
Olga Baysal,O. Baysal,#00bfff,0
Ahmed El-Roby,A. El-Roby,#00bfff,0
Frank Dehne,F. Dehne,#00bfff,0
