name,abbrv,color,coauthored
Illah Nourbakhsh,I. Nourbakhsh,#32CD32,0
Mahadev Satyanarayanan,M. Satyanarayanan,#00bfff,1
James Herbsleb,J. Herbsleb,#00bfff,1
David O'Hallaron,D. O'Hallaron,#00bfff,1
David Held,D. Held,#ffc0cb,0
Bruce Krogh,B. Krogh,#00bfff,1
André Platzer,A. Platzer,#ffff00,1
Bruno Sinopoli,B. Sinopoli,#00bfff,1
Katerina Fragkiadaki,K. Fragkiadaki,#32CD32,0
Eric Xing,E. Xing,#32CD32,1
William Cohen,W. Cohen,#32CD32,1
Barnabás Póczos,B. Póczos,#32CD32,1
Christopher Langmead,C. Langmead,#ffc0cb,1
Christos Faloutsos,C. Faloutsos,#32CD32,1
Seyoung Kim,S. Kim,#32CD32,1
Gregory Ganger,G. Ganger,#00bfff,1
Phillip Gibbons,P. Gibbons,#00bfff,1
Eduard Hovy,E. Hovy,#32CD32,1
Takeo Kanade,T. Kanade,#32CD32,1
Tom Mitchell,T. Mitchell,#32CD32,1
Nancy Pollard,N. Pollard,#ffc0cb,1
Robert Murphy,R. Murphy,#ffc0cb,1
Aarti Singh,A. Singh,#32CD32,1
Pradeep Ravikumar,P. Ravikumar,#32CD32,1
Taylor Berg-Kirkpatrick,T. Berg-Kirkpatrick,#32CD32,1
Edmund Clarke,E. Clarke,#ffff00,1
Justine Cassell,J. Cassell,#32CD32,1
Amy Ogan,A. Ogan,#ffc0cb,1
Stephen Brookes,S. Brookes,#00bfff,0
Brad Myers,B. Myers,#ffc0cb,1
David Garlan,D. Garlan,#00bfff,1
Vincent Aleven,V. Aleven,#ffc0cb,1
Geoffrey Gordon,G. Gordon,#32CD32,1
Jaime Carbonell,J. Carbonell,#32CD32,1
Daniel Siewiorek,D. Siewiorek,#ffc0cb,1
Jonathan Aldrich,J. Aldrich,#00bfff,1
Mary Shaw,M. Shaw,#00bfff,1
John Zimmerman,J. Zimmerman,#ffc0cb,1
Sara Kiesler,S. Kiesler,#ffc0cb,1
Norman Sadeh,N. Sadeh,#ffc0cb,1
Jason Hong,J. Hong,#ffc0cb,1
Carl Kingsford,C. Kingsford,#ffc0cb,0
Gary Miller,G. Miller,#ffff00,1
Guy Blelloch,G. Blelloch,#00bfff,1
Anupam Gupta,A. Gupta,#ffff00,1
Todd Mowry,T. Mowry,#00bfff,1
Venkatesan Guruswami,V. Guruswami,#ffff00,1
Martial Hebert,M. Hebert,#32CD32,1
Ziv Bar-Joseph,Z. Bar-Joseph,#ffc0cb,1
Aniket Kittur,A. Kittur,#ffc0cb,1
Ronald Rosenfeld,R. Rosenfeld,#ffc0cb,1
James McCann,J. McCann,#ffc0cb,1
Simon Lucey,S. Lucey,#32CD32,1
Deva Ramanan,D. Ramanan,#32CD32,1
J. Bagnell,J. Bagnell,#ffc0cb,1
Christopher Atkeson,C. Atkeson,#ffc0cb,1
Matthew Mason,M. Mason,#ffc0cb,1
Hartmut Geyer,H. Geyer,#ffc0cb,0
Priya Narasimhan,P. Narasimhan,#00bfff,0
Jessica Hammer,J. Hammer,#ffc0cb,0
Graham Neubig,G. Neubig,#32CD32,1
Yiming Yang,Y. Yang,#32CD32,1
Robert Kraut,R. Kraut,#ffc0cb,1
Eric Nyberg,E. Nyberg,#32CD32,1
Bernhard Haeupler,B. Haeupler,#ffff00,1
Robert Harper,R. Harper,#00bfff,1
Umut Acar,U. Acar,#00bfff,1
Karl Crary,K. Crary,#00bfff,1
Vipul Goyal,V. Goyal,#ffff00,0
Scott Hudson,S. Hudson,#ffc0cb,1
Jessica Hodgins,J. Hodgins,#ffc0cb,1
Levent Kara,L. Kara,#ffc0cb,1
Anupam Datta,A. Datta,#00bfff,1
Ariel Procaccia,A. Procaccia,#32CD32,1
Virgil Gligor,V. Gligor,#00bfff,1
Lorrie Cranor,L. Cranor,#ffc0cb,1
Matt Fredrikson,M. Fredrikson,#00bfff,1
Benjamin Moseley,B. Moseley,#ffff00,1
Mor Harchol-Balter,M. Harchol-Balter,#00bfff,1
David Andersen,D. Andersen,#00bfff,1
Srinivasan Seshan,S. Seshan,#00bfff,1
Lujo Bauer,L. Bauer,#ffc0cb,1
Andrew Pavlo,A. Pavlo,#00bfff,1
Alessandro Acquisti,A. Acquisti,#ffc0cb,1
Yuvraj Agarwal,Y. Agarwal,#00bfff,1
Laura Dabbish,L. Dabbish,#ffc0cb,1
Alan Black,A. Black,#32CD32,1
Yulia Tsvetkov,Y. Tsvetkov,#32CD32,1
Alonzo Kelly,A. Kelly,#ffc0cb,1
Sivaraman Balakrishnan,S. Balakrishnan,#32CD32,1
Chinmay Kulkarni,C. Kulkarni,#32CD32,1
Jeffrey Bigham,J. Bigham,#ffc0cb,1
Radu Marculescu,R. Marculescu,#00bfff,1
Diana Marculescu,D. Marculescu,#00bfff,1
James Callan,J. Callan,#32CD32,1
Chris Harrison,C. Harrison,#ffc0cb,1
Howie Choset,H. Choset,#ffc0cb,1
Jodi Forlizzi,J. Forlizzi,#ffc0cb,1
Kenneth Koedinger,K. Koedinger,#ffc0cb,1
Srinivasa Narasimhan,S. Narasimhan,#32CD32,1
William Whittaker,W. Whittaker,#ffc0cb,1
Travis Breaux,T. Breaux,#00bfff,0
Carolyn Rosé,C. Rosé,#32CD32,1
Christian Kästner,C. Kästner,#00bfff,1
Kathleen Carley,K. Carley,#ffc0cb,1
Tai Lee,T. Lee,#32CD32,0
Abhinav Gupta,A. Gupta,#32CD32,1
Vyas Sekar,V. Sekar,#00bfff,1
Justine Sherry,J. Sherry,#00bfff,1
J. Kolter,J. Kolter,#32CD32,0
Alexander Waibel,A. Waibel,#32CD32,1
Frank Pfenning,F. Pfenning,#ffc0cb,1
Jian Ma,J. Ma,#ffc0cb,0
Bryan Parno,B. Parno,#00bfff,1
Jan Hoffmann,J. Hoffmann,#00bfff,1
David Woodruff,D. Woodruff,#ffff00,1
Maria-Florina Balcan,M. Balcan,#ffff00,1
Brandon Lucia,B. Lucia,#00bfff,0
Kemal Oflazer,K. Oflazer,#32CD32,0
Andrew Moore,A. Moore,#32CD32,0
Randal Bryant,R. Bryant,#00bfff,0
Bogdan Vasilescu,B. Vasilescu,#00bfff,0
David Brumley,D. Brumley,#00bfff,1
Peter Steenkiste,P. Steenkiste,#00bfff,1
Kun Zhang,K. Zhang,#32CD32,0
Michael Erdmann,M. Erdmann,#ffc0cb,1
William Scherlis,W. Scherlis,#d3d3d3,1
K. Rashmi,K. Rashmi,#00bfff,1
Nihar Shah,N. Shah,#32CD32,1
Claire Le Goues,C. Le Goues,#00bfff,0
Geoff Kaufman,G. Kaufman,#ffc0cb,0
Louis-Philippe Morency,L. Morency,#32CD32,0
Fei Fang,F. Fang,#32CD32,1
Mayank Goel,M. Goel,#ffc0cb,0
Seth Goldstein,S. Goldstein,#ffc0cb,1
Douglas Sicker,D. Sicker,#00bfff,0
Tuomas Sandholm,T. Sandholm,#32CD32,1
Ioannis Gkioulekas,I. Gkioulekas,#32CD32,0
Lining Yao,L. Yao,#ffc0cb,0
Gary Fedder,G. Fedder,#ffc0cb,1
James Hoe,J. Hoe,#00bfff,0
Bhiksha Raj,B. Raj,#32CD32,0
Nathan Beckmann,N. Beckmann,#00bfff,0
Yong-Lae Park,Y. Park,#ffc0cb,1
Ragunathan Rajkumar,R. Rajkumar,#00bfff,0
Keenan Crane,K. Crane,#ffc0cb,0
Luis von Ahn,L. von Ahn,#ffc0cb,1
Manuel Blum,M. Blum,#ffc0cb,1
Farnam Jahanian,F. Jahanian,#00bfff,0
Heather Miller,H. Miller,#d3d3d3,0
Daniel Sleator,D. Sleator,#ffff00,0
Ameet Talwalkar,A. Talwalkar,#32CD32,0
Ryan O'Donnell,R. O'Donnell,#ffff00,0
