name,abbrv,color,coauthored
Weiming Hu,W. Hu,#32CD32,1
Junliang Xing,J. Xing,#32CD32,1
Xiujuan Chai,X. Chai,#32CD32,1
Xilin Chen,X. Chen,#32CD32,1
Meina Kan,M. Kan,#32CD32,1
Hong Chang,H. Chang,#32CD32,1
Liang Wang,L. Wang,#32CD32,0
Tieniu Tan,T. Tan,#32CD32,1
Ran He,R. He,#32CD32,1
Yongzhen Huang,Y. Huang,#32CD32,1
Shuqiang Jiang,S. Jiang,#32CD32,1
Shuhui Wang,S. Wang,#32CD32,1
Qingming Huang,Q. Huang,#32CD32,1
Bingpeng Ma,B. Ma,#32CD32,1
Ruiping Wang,R. Wang,#32CD32,1
Hu Han,H. Han,#32CD32,1
Bin Wang,B. Wang,#32CD32,0
Ping Luo,P. Luo,#32CD32,1
Fuzhen Zhuang,F. Zhuang,#32CD32,1
Qing He,Q. He,#32CD32,1
Xiang Ao,X. Ao,#d3d3d3,1
Yu Qiao,Y. Qiao,#32CD32,0
Xiaojiang Peng,X. Peng,#32CD32,1
Bao-Gang Hu,B. Hu,#32CD32,1
Ruiping Wang,R. Wang,#32CD32,1
Xueqi Cheng,X. Cheng,#32CD32,1
Jiafeng Guo,J. Guo,#32CD32,1
Yanyan Lan,Y. Lan,#32CD32,1
Jun Xu,J. Xu,#32CD32,1
Wensheng Dou,W. Dou,#00bfff,0
Shaowei Cai,S. Cai,#32CD32,0
Yiqiang Chen,Y. Chen,#32CD32,0
Stan Li,S. Li,#32CD32,1
Yu Qiao,Y. Qiao,#32CD32,0
Chengqing Zong,C. Zong,#32CD32,0
Kaiqi Huang,K. Huang,#32CD32,1
Yungang Bao,Y. Bao,#00bfff,0
Yu Hu,Y. Hu,#00bfff,0
Kai 0012,K. 0012,#00bfff,0
Qianqian Xu,Q. Xu,#32CD32,0
Shimin Chen,S. Chen,#00bfff,0
Huawei Li,H. Li,#00bfff,0
Liang Wang,L. Wang,#32CD32,0
Yan Cai,Y. Cai,#00bfff,0
