name,abbrv,color,coauthored
Chi-Wing Fu,C. Fu,#ffc0cb,1
Jiaya Jia,J. Jia,#32CD32,1
Tien-Tsin Wong,T. Wong,#ffc0cb,1
Irwin King,I. King,#32CD32,1
Michael Lyu,M. Lyu,#32CD32,1
John Lui,J. Lui,#32CD32,1
James Cheng,J. Cheng,#32CD32,1
Patrick Lee,P. Lee,#00bfff,1
Ho-fung Leung,H. Leung,#32CD32,1
Ada Fu,A. Fu,#00bfff,1
Tak-Kei Lam,T. Lam,#00bfff,0
Jeffrey Yu,J. Yu,#00bfff,1
Kevin Yip,K. Yip,#ffc0cb,0
Bei Yu,B. Yu,#00bfff,1
Evangeline Young,E. Young,#00bfff,1
Yufei Tao,Y. Tao,#00bfff,1
Shengyu Zhang,S. Zhang,#ffff00,0
Qiang Xu,Q. Xu,#00bfff,0
Jimmy Lee,J. Lee,#32CD32,1
Yat Law,Y. Law,#32CD32,1
Hanqiu Sun,H. Sun,#ffc0cb,0
Kin Wong,K. Wong,#32CD32,0
Eric Lo,E. Lo,#00bfff,0
Kwong-Sak Leung,K. Leung,#ffc0cb,1
Man Wong,M. Wong,#ffc0cb,1
Lai-Wan Chan,L. Chan,#32CD32,0
Benjamin Wah,B. Wah,#32CD32,0
Andrej Bogdanov,A. Bogdanov,#ffff00,0
Siu Chan,S. Chan,#ffff00,0
Wei Meng,W. Meng,#00bfff,0
