name,abbrv,color,coauthored
Rong Ge,R. Ge,#00bfff,0
Guo Freeman,G. Freeman,#ffc0cb,0
Kelly Caine,K. Caine,#ffc0cb,0
Jerry Tessendorf,J. Tessendorf,#ffc0cb,0
Bart Knijnenburg,B. Knijnenburg,#ffc0cb,0
Sekou Remy,S. Remy,#ffc0cb,0
Robert Geist,R. Geist,#d3d3d3,1
Andrew Duchowski,A. Duchowski,#ffc0cb,1
James Westall,J. Westall,#d3d3d3,1
Sophie Jörg,S. Jörg,#ffc0cb,1
Sabarish Babu,S. Babu,#ffc0cb,1
Shuangshuang Jin,S. Jin,#d3d3d3,0
Brian Dean,B. Dean,#d3d3d3,0
Paige Rodeghero,P. Rodeghero,#00bfff,0
Jacob Sorber,J. Sorber,#00bfff,1
Murali Sitaraman,M. Sitaraman,#d3d3d3,1
Ioannis Karamouzas,I. Karamouzas,#ffc0cb,0
Long Cheng,L. Cheng,#d3d3d3,0
Alexander Herzog,A. Herzog,#ffc0cb,0
Larry Hodges,L. Hodges,#ffc0cb,1
Brygg Ullmer,B. Ullmer,#ffc0cb,0
Andrew Robb,A. Robb,#ffc0cb,0
Hongxin Hu,H. Hu,#00bfff,0
Victor Zordan,V. Zordan,#ffc0cb,0
Donald House,D. House,#ffc0cb,0
Eileen Kraemer,E. Kraemer,#00bfff,0
Pradip Srimani,P. Srimani,#d3d3d3,0
Ilya Safro,I. Safro,#32CD32,0
