name,abbrv,color,coauthored
Peter Rigby,P. Rigby,#00bfff,0
Emad Shihab,E. Shihab,#00bfff,0
Javad Sadri,J. Sadri,#ffc0cb,0
Juergen Rilling,J. Rilling,#00bfff,0
Tse-Hsun Chen,T. Chen,#00bfff,1
Weiyi Shang,W. Shang,#00bfff,1
Todd Eavis,T. Eavis,#d3d3d3,0
Lata Narayanan,L. Narayanan,#d3d3d3,0
Sabine Bergler,S. Bergler,#32CD32,0
Gösta Grahne,G. Grahne,#d3d3d3,0
Tristan Glatard,T. Glatard,#00bfff,0
Nikolaos Tsantalis,N. Tsantalis,#00bfff,0
Bipin Desai,B. Desai,#32CD32,0
Charalambos Poullis,C. Poullis,#ffc0cb,0
René Witte,R. Witte,#ffc0cb,0
Tiberiu Popa,T. Popa,#ffc0cb,0
Tien Bui,T. Bui,#32CD32,0
Marta Kersten-Oertel,M. Kersten-Oertel,#ffc0cb,0
