name,abbrv,color,coauthored
Éva Tardos,É. Tardos,#ffff00,1
Robert Kleinberg,R. Kleinberg,#ffff00,1
Karthik Sridharan,K. Sridharan,#32CD32,1
Jon Kleinberg,J. Kleinberg,#32CD32,1
Ramin Zabih,R. Zabih,#32CD32,1
Ari Juels,A. Juels,#00bfff,1
Elaine Shi,E. Shi,#00bfff,1
Thomas Ristenpart,T. Ristenpart,#ffff00,1
Donald Greenberg,D. Greenberg,#ffc0cb,1
Kavita Bala,K. Bala,#ffc0cb,1
Steve Marschner,S. Marschner,#ffc0cb,1
Vitaly Shmatikov,V. Shmatikov,#00bfff,1
Zhiru Zhang,Z. Zhang,#00bfff,1
Christopher Batten,C. Batten,#00bfff,1
Daniel Lee,D. Lee,#ffc0cb,0
Jayadev Acharya,J. Acharya,#32CD32,0
Thorsten Joachims,T. Joachims,#32CD32,1
Rafael Pass,R. Pass,#ffff00,1
Joseph Halpern,J. Halpern,#32CD32,1
Arpita Ghosh,A. Ghosh,#32CD32,1
John Hopcroft,J. Hopcroft,#32CD32,1
Austin Benson,A. Benson,#32CD32,0
Haym Hirsh,H. Hirsh,#d3d3d3,0
José Martínez,J. Martínez,#00bfff,1
David Albonesi,D. Albonesi,#00bfff,1
Rachit Agarwal,R. Agarwal,#00bfff,0
Ross Knepper,R. Knepper,#ffc0cb,0
Mor Naaman,M. Naaman,#ffc0cb,1
Yoav Artzi,Y. Artzi,#32CD32,1
Deborah Estrin,D. Estrin,#00bfff,1
Emin Sirer,E. Sirer,#00bfff,1
Fred Schneider,F. Schneider,#00bfff,1
Cristian Danescu-Niculescu-Mizil,C. Danescu-Niculescu-Mizil,#32CD32,1
Lillian Lee,L. Lee,#32CD32,1
Daniel Huttenlocher,D. Huttenlocher,#32CD32,1
Dan Cosley,D. Cosley,#ffc0cb,1
David Bindel,D. Bindel,#32CD32,1
Kilian Weinberger,K. Weinberger,#32CD32,1
Lorenzo Alvisi,L. Alvisi,#00bfff,1
Serge Belongie,S. Belongie,#32CD32,1
Phoebe Sengers,P. Sengers,#ffc0cb,0
Noah Snavely,N. Snavely,#32CD32,1
Bharath Hariharan,B. Hariharan,#32CD32,1
Hadas Kress-Gazit,H. Kress-Gazit,#ffc0cb,0
Nate Foster,N. Foster,#00bfff,1
Dexter Kozen,D. Kozen,#ffff00,1
Erik Andersen,E. Andersen,#ffc0cb,1
Malte Jung,M. Jung,#ffc0cb,0
Andrew Myers,A. Myers,#00bfff,1
François Guimbretière,F. Guimbretière,#ffc0cb,1
Hakim Weatherspoon,H. Weatherspoon,#00bfff,1
Kenneth Birman,K. Birman,#00bfff,1
Siddhartha Banerjee,S. Banerjee,#32CD32,1
David Mimno,D. Mimno,#32CD32,1
Immanuel Trummer,I. Trummer,#00bfff,0
Volodymyr Kuleshov,V. Kuleshov,#32CD32,0
Amir Avestimehr,A. Avestimehr,#32CD32,0
Robert Constable,R. Constable,#ffff00,0
Ross Tate,R. Tate,#00bfff,0
Shiri Azenkot,S. Azenkot,#ffc0cb,0
Adrian Sampson,A. Sampson,#00bfff,0
Guy Hoffman,G. Hoffman,#32CD32,0
Bart Selman,B. Selman,#32CD32,1
Carla Gomes,C. Gomes,#32CD32,1
Tanzeem Choudhury,T. Choudhury,#ffc0cb,1
J. Morrisett,J. Morrisett,#00bfff,0
Nicola Dell,N. Dell,#ffc0cb,0
Christina Delimitrou,C. Delimitrou,#00bfff,0
Andrew Wilson,A. Wilson,#32CD32,0
Malte Jung,M. Jung,#ffc0cb,0
David Williamson,D. Williamson,#ffff00,0
G. Suh,G. Suh,#00bfff,1
Eshan Chattopadhyay,E. Chattopadhyay,#ffff00,0
Madeleine Udell,M. Udell,#32CD32,0
Christopher De Sa,C. De Sa,#32CD32,0
Claire Cardie,C. Cardie,#32CD32,0
