name,abbrv,color,coauthored
Peter Winkler,P. Winkler,#ffff00,0
Andrew Campbell,A. Campbell,#00bfff,1
Xia Zhou,X. Zhou,#00bfff,1
Lorenzo Torresani,L. Torresani,#32CD32,1
Deeparnab Chakrabarty,D. Chakrabarty,#ffff00,0
Robert Drysdale,R. Drysdale,#d3d3d3,0
Alberto Li,A. Li,#ffc0cb,0
Devin Balkcom,D. Balkcom,#ffc0cb,1
Amit Chakrabarti,A. Chakrabarti,#ffff00,1
Wojciech Jarosz,W. Jarosz,#ffc0cb,0
Chris Bailey-Kellogg,C. Bailey-Kellogg,#ffc0cb,0
Daniel Rockmore,D. Rockmore,#32CD32,0
Prasad Jayanti,P. Jayanti,#ffff00,0
Hany Farid,H. Farid,#ffc0cb,0
Sean Smith,S. Smith,#00bfff,0
David Kotz,D. Kotz,#00bfff,0
Qiang Liu,Q. Liu,#32CD32,0
Xing-Dong Yang,X. Yang,#ffc0cb,1
