name,abbrv,color,coauthored
Rüdiger Urbanke,R. Urbanke,#ffff00,0
Bryan Ford,B. Ford,#00bfff,1
Jean-Pierre Hubaux,J. Hubaux,#00bfff,1
Joseph Sifakis,J. Sifakis,#00bfff,0
Jeffrey Huang,J. Huang,#ffc0cb,1
Jean-Yves Le Boudec,J. Le Boudec,#00bfff,1
Carmela Troncoso,C. Troncoso,#00bfff,1
Matthias Grossglauser,M. Grossglauser,#32CD32,0
Wulfram Gerstner,W. Gerstner,#32CD32,0
Ola Svensson,O. Svensson,#ffff00,0
George Candea,G. Candea,#00bfff,1
Rachid Guerraoui,R. Guerraoui,#00bfff,1
Anastasia Ailamaki,A. Ailamaki,#00bfff,1
Mathias Payer,M. Payer,#00bfff,1
Katerina Argyraki,K. Argyraki,#00bfff,1
Babak Falsafi,B. Falsafi,#00bfff,1
Bernard Moret,B. Moret,#ffc0cb,0
Wenzel Jakob,W. Jakob,#ffc0cb,0
Edouard Bugnion,E. Bugnion,#00bfff,1
Arjen Lenstra,A. Lenstra,#ffff00,0
James Larus,J. Larus,#00bfff,1
Serge Vaudenay,S. Vaudenay,#ffff00,0
Viktor Kuncak,V. Kuncak,#00bfff,1
Christoph Koch,C. Koch,#00bfff,1
Patrick Thiran,P. Thiran,#00bfff,1
Michael Kapralov,M. Kapralov,#ffff00,0
Emre Telatar,E. Telatar,#00bfff,1
Roger Hersch,R. Hersch,#ffc0cb,0
Martin Odersky,M. Odersky,#00bfff,0
Martin Jaggi,M. Jaggi,#32CD32,0
Martin Vetterli,M. Vetterli,#00bfff,0
Paolo Ienne,P. Ienne,#00bfff,0
Sabine Süsstrunk,S. Süsstrunk,#32CD32,1
Pascal Fua,P. Fua,#32CD32,1
Dimitri Van De Ville,D. Van De Ville,#ffc0cb,0
Boi Faltings,B. Faltings,#32CD32,0
Amin Shokrollahi,A. Shokrollahi,#ffff00,0
Mark Pauly,M. Pauly,#ffc0cb,0
Karl Aberer,K. Aberer,#32CD32,0
Pierre Dillenbourg,P. Dillenbourg,#ffc0cb,0
Friedrich Eisenbrand,F. Eisenbrand,#ffff00,0
Giovanni De Micheli,G. De Micheli,#00bfff,0
