name,abbrv,color,coauthored
Laurent Doyen,L. Doyen,#ffff00,0
Luc Segoufin,L. Segoufin,#ffff00,1
Serge Abiteboul,S. Abiteboul,#00bfff,1
Nicolas Markey,N. Markey,#ffff00,1
Patricia Bouyer,P. Bouyer,#ffff00,1
Philippe Schnoebelen,P. Schnoebelen,#ffff00,1
Serge Haddad,S. Haddad,#ffff00,1
Sylvain Schmitz,S. Schmitz,#ffff00,1
David Baelde,D. Baelde,#ffff00,1
Stéphanie Delaune,S. Delaune,#00bfff,1
Stefan Schwoon,S. Schwoon,#d3d3d3,1
Stefan Haar,S. Haar,#d3d3d3,1
Stéphane Demri,S. Demri,#ffff00,0
Alain Finkel,A. Finkel,#ffff00,1
Stefan Göller,S. Göller,#ffff00,1
Hubert Comon-Lundh,H. Comon-Lundh,#00bfff,1
Jean Goubault-Larrecq,J. Goubault-Larrecq,#ffff00,0
Paul Gastin,P. Gastin,#ffff00,1
Benedikt Bollig,B. Bollig,#ffff00,1
Étienne Lozes,É. Lozes,#00bfff,0
Thomas Chatain,T. Chatain,#d3d3d3,0
