name,abbrv,color,coauthored
Thierry Gautier,T. Gautier,#00bfff,0
Benoît Libert,B. Libert,#ffff00,1
Damien Stehlé,D. Stehlé,#ffff00,1
Frédéric Desprez,F. Desprez,#d3d3d3,1
Eddy Caron,E. Caron,#d3d3d3,1
Frédéric Suter,F. Suter,#d3d3d3,0
Gilles Villard,G. Villard,#ffff00,1
Guillaume Hanrot,G. Hanrot,#ffff00,1
Sanjay Bhattacherjee,S. Bhattacherjee,#d3d3d3,1
Loris Marchal,L. Marchal,#00bfff,1
Yves Robert,Y. Robert,#00bfff,1
Anne Benoit,A. Benoit,#00bfff,1
Bora Uçar,B. Uçar,#00bfff,1
Omar Fawzi,O. Fawzi,#ffff00,0
Laure Gonnord,L. Gonnord,#00bfff,0
Patrick Baillot,P. Baillot,#ffff00,0
Philippe Nain,P. Nain,#00bfff,0
Laure Daviaud,L. Daviaud,#ffff00,0
Pascal Koiran,P. Koiran,#00bfff,0
Tomofumi Yuki,T. Yuki,#00bfff,0
Tereza Klimosova,T. Klimosova,#ffff00,0
Jean-Bernard Stefani,J. Stefani,#00bfff,0
Theo Mary,T. Mary,#00bfff,0
Denis Kuperberg,D. Kuperberg,#00bfff,0
Eric Fleury,E. Fleury,#d3d3d3,0
Gilles Fedak,G. Fedak,#00bfff,1
Simon Delamare,S. Delamare,#00bfff,1
Jean-Patrick Gelas,J. Gelas,#d3d3d3,1
Laurent Lefèvre,L. Lefèvre,#d3d3d3,1
Bruno Salvy,B. Salvy,#ffff00,0
Jurriaan Rot,J. Rot,#ffff00,1
Filippo Bonchi,F. Bonchi,#ffff00,1
Daniel Hirschkoff,D. Hirschkoff,#ffff00,0
Patrick Gros,P. Gros,#ffc0cb,0
Anupam Das,A. Das,#ffff00,1
Colin Riba,C. Riba,#ffff00,1
Stéphan Thomassé,S. Thomassé,#ffff00,0
Matteo Mio,M. Mio,#ffff00,0
Christian Pérez,C. Pérez,#d3d3d3,0
Emmanuel Beffara,E. Beffara,#ffff00,0
Yves Caniou,Y. Caniou,#d3d3d3,1
Shi Bai,S. Bai,#ffc0cb,0
Arnaud Lefray,A. Lefray,#d3d3d3,0
Yves-Stan Le Cornec,Y. Le Cornec,#ffc0cb,0
Russell Harmer,R. Harmer,#ffff00,0
Fabien Laguillaumie,F. Laguillaumie,#ffff00,0
Pierre Clairambault,P. Clairambault,#ffff00,0
Olivier Laurent,O. Laurent,#ffff00,0
