name,abbrv,color,coauthored
Joyce Ho,J. Ho,#32CD32,0
Eugene Agichtein,E. Agichtein,#32CD32,1
Michele Benzi,M. Benzi,#32CD32,1
Jun Kong,J. Kong,#d3d3d3,1
Lee Cooper,L. Cooper,#ffc0cb,1
Ilya Nemenman,I. Nemenman,#ffc0cb,0
Andrew Post,A. Post,#d3d3d3,0
Jinho Choi,J. Choi,#32CD32,0
Avani Wildani,A. Wildani,#d3d3d3,0
Ashish Sharma,A. Sharma,#d3d3d3,0
Vojtech Rödl,V. Rödl,#ffff00,0
Dorian Arnold,D. Arnold,#00bfff,0
Vaidy Sunderam,V. Sunderam,#00bfff,1
Li Xiong,L. Xiong,#00bfff,1
Ymir Vigfusson,Y. Vigfusson,#00bfff,0
Davide Fossati,D. Fossati,#d3d3d3,0
Zhaohui Qin,Z. Qin,#ffc0cb,0
