name,abbrv,color,coauthored
Naphtali Rishe,N. Rishe,#d3d3d3,0
Endadul Hoque,E. Hoque,#00bfff,0
Ning Xie,N. Xie,#ffff00,0
Bogdan Carbunar,B. Carbunar,#00bfff,0
Mark Finlayson,M. Finlayson,#32CD32,0
Geoffrey Smith,G. Smith,#ffff00,0
Raju Rangaswami,R. Rangaswami,#00bfff,1
Seyed Sadjadi,S. Sadjadi,#d3d3d3,1
Peter Clarke,P. Clarke,#d3d3d3,0
Niki Pissinou,N. Pissinou,#d3d3d3,1
Deng Pan,D. Pan,#d3d3d3,1
Jason Liu,J. Liu,#d3d3d3,1
Shu-Ching Chen,S. Chen,#32CD32,1
Giri Narasimhan,G. Narasimhan,#ffc0cb,1
Liting Hu,L. Hu,#00bfff,0
Wei Zeng,W. Zeng,#ffc0cb,0
Fahad Saeed,F. Saeed,#ffc0cb,0
Leonardo Bobadilla,L. Bobadilla,#ffc0cb,0
