name,abbrv,color,coauthored
Alexander Brodsky,A. Brodsky,#00bfff,0
Houman Homayoun,H. Homayoun,#00bfff,0
Hakan Aydin,H. Aydin,#00bfff,1
Robert Simon,R. Simon,#d3d3d3,1
Xinyuan Wang,X. Wang,#00bfff,0
Jyh-Ming Lien,J. Lien,#ffc0cb,1
Jana Kosecka,J. Kosecka,#ffc0cb,1
Yotam Gingold,Y. Gingold,#ffc0cb,1
Angelos Stavrou,A. Stavrou,#00bfff,0
Qi Wei,Q. Wei,#32CD32,0
Song Kim,S. Kim,#00bfff,0
Harry Wechsler,H. Wechsler,#32CD32,0
Sanjeev Setia,S. Setia,#00bfff,0
Hassan Gomaa,H. Gomaa,#00bfff,0
Fei Li,F. Li,#00bfff,0
Songqing Chen,S. Chen,#00bfff,0
Yue Cheng,Y. Cheng,#00bfff,0
Amarda Shehu,A. Shehu,#ffc0cb,0
Eric Osterweil,E. Osterweil,#00bfff,0
Foteini Baldimtsi,F. Baldimtsi,#00bfff,0
Zoran Duric,Z. Duric,#32CD32,0
Jonathan Bell,J. Bell,#00bfff,0
Duminda Wijesekera,D. Wijesekera,#00bfff,0
S. Gordon,S. Gordon,#ffff00,0
Sean Luke,S. Luke,#32CD32,0
Kai Zeng,K. Zeng,#00bfff,0
Parth Pathak,P. Pathak,#00bfff,0
A. Offutt,A. Offutt,#00bfff,1
Paul Ammann,P. Ammann,#00bfff,1
Huzefa Rangwala,H. Rangwala,#32CD32,1
Carlotta Domeniconi,C. Domeniconi,#32CD32,1
Daniel Barbará,D. Barbará,#32CD32,1
Thomas LaToza,T. LaToza,#00bfff,0
