name,abbrv,color,coauthored
Seth Hutchinson,S. Hutchinson,#ffc0cb,0
Hyesoon Kim,H. Kim,#00bfff,1
Richard Vuduc,R. Vuduc,#00bfff,1
Taesoo Kim,T. Kim,#00bfff,1
Jamie Morgenstern,J. Morgenstern,#32CD32,0
Santosh Pande,S. Pande,#00bfff,0
Srinivas Aluru,S. Aluru,#00bfff,1
David Bader,D. Bader,#00bfff,1
Joy Arulraj,J. Arulraj,#00bfff,0
Richard Peng,R. Peng,#ffff00,0
Mostafa Ammar,M. Ammar,#00bfff,1
Constantinos Dovrolis,C. Dovrolis,#00bfff,1
Ellen Zegura,E. Zegura,#00bfff,1
Amy Bruckman,A. Bruckman,#ffc0cb,1
Betsy DiSalvo,B. DiSalvo,#ffc0cb,1
Annie Antón,A. Antón,#d3d3d3,1
W. Edwards,W. Edwards,#ffc0cb,1
Rebecca Grinter,R. Grinter,#ffc0cb,1
Eric Gilbert,E. Gilbert,#ffc0cb,1
Munmun De Choudhury,M. De Choudhury,#ffc0cb,1
Edmond Chow,E. Chow,#00bfff,1
Duen Chau,D. Chau,#ffc0cb,1
Irfan Essa,I. Essa,#32CD32,1
James Rehg,J. Rehg,#32CD32,1
Le Song,L. Song,#32CD32,1
Gregory Abowd,G. Abowd,#ffc0cb,1
Greg Turk,G. Turk,#ffc0cb,1
Byron Boots,B. Boots,#32CD32,1
Paul Pearce,P. Pearce,#00bfff,0
Qirun Zhang,Q. Zhang,#00bfff,0
Mustaque Ahamad,M. Ahamad,#00bfff,1
Manos Antonakakis,M. Antonakakis,#00bfff,1
Ling Liu,L. Liu,#00bfff,1
C. Liu,C. Liu,#ffc0cb,1
Concettina Guerra,C. Guerra,#d3d3d3,0
Vladimir Kolesnikov,V. Kolesnikov,#00bfff,0
James Hays,J. Hays,#32CD32,1
Richard Lipton,R. Lipton,#00bfff,1
Jun Xu,J. Xu,#00bfff,1
Mark Riedl,M. Riedl,#32CD32,0
Jimeng Sun,J. Sun,#32CD32,1
Umakishore Ramachandran,U. Ramachandran,#00bfff,0
Xu Chu,X. Chu,#00bfff,0
Jacob Eisenstein,J. Eisenstein,#32CD32,1
Wenke Lee,W. Lee,#00bfff,1
Alexandra Boldyreva,A. Boldyreva,#ffff00,1
Alessandro Orso,A. Orso,#00bfff,1
Milena Mihail,M. Mihail,#ffff00,0
Melody Jackson,M. Jackson,#ffc0cb,1
Thad Starner,T. Starner,#ffc0cb,1
Ümit Çatalyürek,Ü. Çatalyürek,#00bfff,0
Elizabeth Mynatt,E. Mynatt,#ffc0cb,1
Lance Fortnow,L. Fortnow,#00bfff,0
Hongyuan Zha,H. Zha,#32CD32,1
Bistra Dilkina,B. Dilkina,#32CD32,1
Haesun Park,H. Park,#32CD32,1
Santosh Vempala,S. Vempala,#ffff00,1
Calton Pu,C. Pu,#00bfff,1
Lauren Wilcox,L. Wilcox,#ffc0cb,0
Andrea Thomaz,A. Thomaz,#ffc0cb,1
Shamkant Navathe,S. Navathe,#00bfff,1
Milos Prvulovic,M. Prvulovic,#00bfff,1
Blair MacIntyre,B. MacIntyre,#ffc0cb,1
Bruce Walker,B. Walker,#ffc0cb,1
Tucker Balch,T. Balch,#ffc0cb,0
Jarek Rossignac,J. Rossignac,#ffc0cb,0
Thomas Conte,T. Conte,#00bfff,0
Judy Hoffman,J. Hoffman,#32CD32,0
Vivek Sarkar,V. Sarkar,#00bfff,0
James Foley,J. Foley,#ffc0cb,0
Nancy Nersessian,N. Nersessian,#ffc0cb,1
John Stasko,J. Stasko,#ffc0cb,1
Prasad Tetali,P. Tetali,#ffff00,1
Eric Vigoda,E. Vigoda,#ffff00,1
Ronald Arkin,R. Arkin,#ffc0cb,0
Rahul Basole,R. Basole,#ffc0cb,1
Tushar Krishna,T. Krishna,#00bfff,0
Alexander Gray,A. Gray,#32CD32,1
Charles Isbell,C. Isbell,#32CD32,1
Brendan Saltaformaggio,B. Saltaformaggio,#00bfff,0
Michael Best,M. Best,#ffc0cb,0
Thomas Plötz,T. Plötz,#32CD32,1
Dhruv Batra,D. Batra,#32CD32,1
Devi Parikh,D. Parikh,#32CD32,1
William Harris,W. Harris,#00bfff,0
Dana Randall,D. Randall,#ffff00,0
Alex Endert,A. Endert,#ffc0cb,1
Henrik Christensen,H. Christensen,#ffc0cb,1
Ada Gavrilovska,A. Gavrilovska,#00bfff,0
David Devecsery,D. Devecsery,#00bfff,0
Sonia Chernova,S. Chernova,#ffc0cb,0
