name,abbrv,color,coauthored
Zhipeng Cai,Z. Cai,#ffc0cb,0
Yanqing Zhang,Y. Zhang,#ffc0cb,0
Xiaojun Cao,X. Cao,#d3d3d3,0
Yi Pan,Y. Pan,#ffc0cb,0
Anu Bourgeois,A. Bourgeois,#d3d3d3,0
Pavel Skums,P. Skums,#ffc0cb,1
Alex Zelikovsky,A. Zelikovsky,#ffc0cb,1
Ashwin Ashok,A. Ashok,#00bfff,0
Yingshu Li,Y. Li,#d3d3d3,0
Yubao Wu,Y. Wu,#00bfff,0
Sushil Prasad,S. Prasad,#d3d3d3,0
Zhisheng Yan,Z. Yan,#00bfff,0
Shihao Ji,S. Ji,#32CD32,0
Ying Zhu,Y. Zhu,#32CD32,0
Daniel Pimentel-Alarcón,D. Pimentel-Alarcón,#32CD32,0
