name,abbrv,color,coauthored
James Kwok,J. Kwok,#32CD32,1
Qiang Yang,Q. Yang,#32CD32,1
Kwang-Ting Cheng,K. Cheng,#00bfff,0
Dimitris Papadopoulos,D. Papadopoulos,#00bfff,0
Shing-Chi Cheung,S. Cheung,#00bfff,1
Charles Zhang,C. Zhang,#00bfff,1
Sunghun Kim,S. Kim,#00bfff,1
Huamin Qu,H. Qu,#ffc0cb,1
Albert Chung,A. Chung,#32CD32,1
Sai-Kit Yeung,S. Yeung,#32CD32,1
Helen Shen,H. Shen,#32CD32,1
Chi-Keung Tang,C. Tang,#32CD32,1
Kenneth Leung,K. Leung,#32CD32,1
Wilfred Ng,W. Ng,#00bfff,1
Dik Lee,D. Lee,#32CD32,1
Wei 0030,W. 0030,#00bfff,0
Tony Chan,T. Chan,#32CD32,1
Long Quan,L. Quan,#32CD32,1
Fangzhen Lin,F. Lin,#32CD32,0
Pan Hui,P. Hui,#00bfff,1
Lei Chen,L. Chen,#00bfff,1
Chiew-Lan Tai,C. Tai,#ffc0cb,1
Dit-Yan Yeung,D. Yeung,#32CD32,1
Dekai Wu,D. Wu,#32CD32,0
Frederick Lochovsky,F. Lochovsky,#32CD32,1
Nevin Zhang,N. Zhang,#32CD32,1
Shueng-Han Chan,S. Chan,#ffc0cb,0
Kai 0005,K. 0005,#00bfff,0
Siu-Wing Cheng,S. Cheng,#ffff00,1
Ke Yi,K. Yi,#00bfff,1
Qiong Luo,Q. Luo,#00bfff,1
Pedro Sander,P. Sander,#ffc0cb,1
Yangqiu Song,Y. Song,#32CD32,1
Kaiyu Hang,K. Hang,#ffc0cb,0
Dimitris Papadias,D. Papadias,#00bfff,0
Mordecai Golin,M. Golin,#ffff00,0
Xiaojuan Ma,X. Ma,#ffc0cb,1
Lionel Ni,L. Ni,#00bfff,1
Raymond Wong,R. Wong,#00bfff,1
Ming Liu,M. Liu,#ffc0cb,0
Sunil Arya,S. Arya,#ffff00,0
