name,abbrv,color,coauthored
Scott Kuindersma,S. Kuindersma,#ffc0cb,0
Barbara Grosz,B. Grosz,#32CD32,1
Krzysztof Gajos,K. Gajos,#ffc0cb,1
Minlan Yu,M. Yu,#00bfff,0
Stratos Idreos,S. Idreos,#00bfff,0
Alexander Rush,A. Rush,#32CD32,1
Stuart Shieber,S. Shieber,#32CD32,1
David Parkes,D. Parkes,#32CD32,1
Yaron Singer,Y. Singer,#ffff00,1
Yiling Chen,Y. Chen,#32CD32,1
Finale Doshi-Velez,F. Doshi-Velez,#32CD32,0
Salil Vadhan,S. Vadhan,#ffff00,1
Stephen Chong,S. Chong,#00bfff,1
Leslie Valiant,L. Valiant,#ffff00,0
Jelani Nelson,J. Nelson,#ffff00,0
Michael Mitzenmacher,M. Mitzenmacher,#32CD32,1
Madhu Sudan,M. Sudan,#ffff00,1
Hanspeter Pfister,H. Pfister,#ffc0cb,1
Radhika Nagpal,R. Nagpal,#ffc0cb,0
David Brooks,D. Brooks,#00bfff,0
James Mickens,J. Mickens,#00bfff,0
Boaz Barak,B. Barak,#ffff00,0
Eddie Kohler,E. Kohler,#00bfff,0
H. Kung,H. Kung,#00bfff,0
Susan Murphy,S. Murphy,#32CD32,0
Michael Rabin,M. Rabin,#ffff00,0
David Cox,D. Cox,#00bfff,0
Jim Waldo,J. Waldo,#d3d3d3,0
Steven Gortler,S. Gortler,#32CD32,0
