name,abbrv,color,coauthored
Venkatesh Choppella,V. Choppella,#ffc0cb,0
Sujit Gujar,S. Gujar,#32CD32,0
Anoop Namboodiri,A. Namboodiri,#32CD32,1
C. Jawahar,C. Jawahar,#ffc0cb,1
K. Srinathan,K. Srinathan,#32CD32,1
Avinash Sharma,A. Sharma,#32CD32,1
K. Krishna,K. Krishna,#ffc0cb,1
Jayanthi Sivaswamy,J. Sivaswamy,#ffc0cb,1
Abhishek Sarkar,A. Sarkar,#ffc0cb,1
Dipti Sharma,D. Sharma,#32CD32,1
Manish Shrivastava,M. Shrivastava,#32CD32,1
Radhika Mamidi,R. Mamidi,#32CD32,1
Girish Varma,G. Varma,#ffff00,0
Sanjay Rawat,S. Rawat,#00bfff,0
Vasudeva Varma,V. Varma,#32CD32,0
Vineet Gandhi,V. Gandhi,#ffc0cb,0
Raju Bapi,R. Bapi,#32CD32,0
Kamalakar Karlapalem,K. Karlapalem,#32CD32,0
Kishore Kothapalli,K. Kothapalli,#00bfff,1
P. Narayanan,P. Narayanan,#ffc0cb,1
Praveen Paruchuri,P. Paruchuri,#32CD32,0
Subramanian Ramanathan,S. Ramanathan,#32CD32,0
