name,abbrv,color,coauthored
Siddharth Barman,S. Barman,#ffff00,0
Chiranjib Bhattacharyya,C. Bhattacharyya,#32CD32,1
Kanchi Gopinath,K. Gopinath,#00bfff,1
M. Murty,M. Murty,#32CD32,1
Ambedkar Dukkipati,A. Dukkipati,#32CD32,0
Partha Talukdar,P. Talukdar,#32CD32,0
Bhavana Kanukurthi,B. Kanukurthi,#ffff00,0
Vinod Ganapathy,V. Ganapathy,#00bfff,0
Aditya Kanade,A. Kanade,#00bfff,1
Shirish Shevade,S. Shevade,#32CD32,1
Raghavan Komondoor,R. Komondoor,#00bfff,0
Arnab Bhattacharyya,A. Bhattacharyya,#ffff00,0
Shalabh Bhatnagar,S. Bhatnagar,#32CD32,0
R. Govindarajan,R. Govindarajan,#00bfff,1
Matthew Thazhuthaveetil,M. Thazhuthaveetil,#00bfff,1
Deepak D'Souza,D. D'Souza,#ffff00,0
Arpita Patra,A. Patra,#ffff00,0
Vijay Natarajan,V. Natarajan,#ffc0cb,0
Chandan Saha,C. Saha,#ffff00,0
Uday Bondhugula,U. Bondhugula,#00bfff,0
Sathish Govindarajan,S. Govindarajan,#d3d3d3,0
Y. Narahari,Y. Narahari,#32CD32,0
Anand Louis,A. Louis,#ffff00,0
Jayant Haritsa,J. Haritsa,#00bfff,0
