name,abbrv,color,coauthored
Kameswari Chebrolu,K. Chebrolu,#00bfff,1
Bhaskaran Raman,B. Raman,#00bfff,1
Ajit Rajwade,A. Rajwade,#32CD32,0
S. Akshay,S. Akshay,#ffff00,0
Siddhartha Chaudhuri,S. Chaudhuri,#ffc0cb,0
Umesh Bellur,U. Bellur,#d3d3d3,0
Preethi Jyothi,P. Jyothi,#32CD32,0
Krithi Ramamritham,K. Ramamritham,#00bfff,1
S. Sudarshan,S. Sudarshan,#00bfff,1
Parag Chaudhuri,P. Chaudhuri,#ffc0cb,0
Sundar Vishwanathan,S. Vishwanathan,#ffff00,1
Sunita Sarawagi,S. Sarawagi,#32CD32,1
Soumen Chakrabarti,S. Chakrabarti,#32CD32,1
Ganesh Ramakrishnan,G. Ramakrishnan,#32CD32,1
Ajit Diwan,A. Diwan,#32CD32,1
Mythili Vutukuru,M. Vutukuru,#00bfff,0
Suyash Awate,S. Awate,#32CD32,0
Shankara Krishna,S. Krishna,#00bfff,0
Purushottam Kulkarni,P. Kulkarni,#00bfff,0
Nutan Limaye,N. Limaye,#ffff00,0
Milind Sohoni,M. Sohoni,#ffff00,1
Bharat Adsul,B. Adsul,#ffff00,1
Om Damani,O. Damani,#32CD32,0
Shivaram Kalyanakrishnan,S. Kalyanakrishnan,#32CD32,0
Sridhar Iyer,S. Iyer,#d3d3d3,0
Manoj Prabhakaran,M. Prabhakaran,#ffff00,0
Supratik Chakraborty,S. Chakraborty,#32CD32,0
