name,abbrv,color,coauthored
Amitabha Bagchi,A. Bagchi,#00bfff,1
Maya Ramanath,M. Ramanath,#32CD32,1
Parag Singla,P. Singla,#32CD32,1
Mausam ,M. ,#32CD32,1
Sandeep Sen,S. Sen,#ffff00,0
M. Balakrishnan,M. Balakrishnan,#00bfff,1
Preeti Panda,P. Panda,#00bfff,1
Sayan Ranu,S. Ranu,#00bfff,0
Rahul Garg,R. Garg,#32CD32,0
Subodh Sharma,S. Sharma,#00bfff,0
Kolin Paul,K. Paul,#d3d3d3,0
Aaditeshwar Seth,A. Seth,#00bfff,0
Smruti Sarangi,S. Sarangi,#00bfff,0
Subhashis Banerjee,S. Banerjee,#32CD32,1
Prem Kalra,P. Kalra,#32CD32,1
Ragesh Jaiswal,R. Jaiswal,#ffff00,0
Subodh Kumar,S. Kumar,#d3d3d3,1
Sorav Bansal,S. Bansal,#00bfff,1
Amit Kumar,A. Kumar,#ffff00,0
Sanjiva Prasad,S. Prasad,#00bfff,0
S. Arun-Kumar,S. Arun-Kumar,#ffff00,0
Vinay Ribeiro,V. Ribeiro,#00bfff,0
Saroj Kaushik,S. Kaushik,#d3d3d3,0
