name,abbrv,color,coauthored
Anil Seth,A. Seth,#ffff00,0
Piyush Rai,P. Rai,#32CD32,0
Nitin Saxena,N. Saxena,#ffff00,1
Manindra Agrawal,M. Agrawal,#ffff00,1
Harish Karnick,H. Karnick,#32CD32,1
Purushottam Kar,P. Kar,#32CD32,1
Rajat Mittal,R. Mittal,#ffc0cb,0
Swaprava Nath,S. Nath,#32CD32,0
Shashank Mehta,S. Mehta,#ffff00,1
Surender Baswana,S. Baswana,#ffff00,1
Amitabha Mukerjee,A. Mukerjee,#32CD32,1
Vinay Namboodiri,V. Namboodiri,#32CD32,1
Biswabandan Panda,B. Panda,#00bfff,0
Sunil Simon,S. Simon,#32CD32,0
Indranil Saha,I. Saha,#00bfff,0
Nisheeth Srivastava,N. Srivastava,#32CD32,0
Mainak Chaudhuri,M. Chaudhuri,#00bfff,0
Arnab Bhattacharya,A. Bhattacharya,#00bfff,0
Medha Atre,M. Atre,#32CD32,0
Satyadev Nandakumar,S. Nandakumar,#ffff00,0
Amey Karkare,A. Karkare,#00bfff,1
Subhajit Roy,S. Roy,#00bfff,1
Sumit Ganguly,S. Ganguly,#ffff00,0
Sandeep Shukla,S. Shukla,#00bfff,0
