name,abbrv,color,coauthored
Rajat Chakraborty,R. Chakraborty,#d3d3d3,1
Debdeep Mukhopadhyay,D. Mukhopadhyay,#00bfff,1
Anupam Basu,A. Basu,#32CD32,1
Niloy Ganguly,N. Ganguly,#32CD32,1
Animesh Mukherjee,A. Mukherjee,#32CD32,1
Sudeshna Sarkar,S. Sarkar,#32CD32,1
Pallab Dasgupta,P. Dasgupta,#00bfff,1
Soumyajit Dey,S. Dey,#d3d3d3,1
Sujoy Ghose,S. Ghose,#00bfff,1
Bivas Mitra,B. Mitra,#ffc0cb,1
Pawan Goyal,P. Goyal,#32CD32,1
P. Chakrabarti,P. Chakrabarti,#32CD32,1
Rajeev Kumar,R. Kumar,#32CD32,1
Pabitra Mitra,P. Mitra,#32CD32,1
Indranil Sengupta,I. Sengupta,#00bfff,0
Sourangshu Bhattacharya,S. Bhattacharya,#32CD32,1
Rajib Mall,R. Mall,#d3d3d3,0
