name,abbrv,color,coauthored
Chester Rebeiro,C. Rebeiro,#00bfff,1
Aritra Hazra,A. Hazra,#00bfff,1
Prashanth A.,P. A.,#32CD32,0
Sukhendu Das,S. Das,#32CD32,0
Mitesh Khapra,M. Khapra,#32CD32,1
Balaraman Ravindran,B. Ravindran,#32CD32,1
Rajsekar Manokaran,R. Manokaran,#ffff00,0
Sutanu Chakraborti,S. Chakraborti,#32CD32,0
V. Nandivada,V. Nandivada,#00bfff,0
P. Kumar,P. Kumar,#32CD32,1
Deepak Khemani,D. Khemani,#32CD32,1
Shweta Agrawal,S. Agrawal,#ffff00,0
C. Rangan,C. Rangan,#ffff00,0
John Augustine,J. Augustine,#ffff00,0
Anurag Mittal,A. Mittal,#32CD32,0
Rupesh Nasre,R. Nasre,#d3d3d3,0
D. Ram,D. Ram,#d3d3d3,0
