name,abbrv,color,coauthored
Carsten Schürmann,C. Schürmann,#ffc0cb,0
Kasper Støy,K. Støy,#ffc0cb,0
Natalie Schluter,N. Schluter,#32CD32,1
Zeljko Agic,Z. Agic,#32CD32,1
Dan Hansen,D. Hansen,#ffc0cb,0
Andrzej Wasowski,A. Wasowski,#00bfff,1
Claus Brabrand,C. Brabrand,#00bfff,1
Barbara Plank,B. Plank,#32CD32,1
Troels Lund,T. Lund,#32CD32,0
Thore Husfeldt,T. Husfeldt,#ffff00,0
Jes Frellsen,J. Frellsen,#32CD32,0
Riko Jacob,R. Jacob,#ffc0cb,0
Pinar Tözün,P. Tözün,#00bfff,0
Philippe Bonnet,P. Bonnet,#00bfff,0
Patrick Bahr,P. Bahr,#ffff00,1
Rasmus Møgelberg,R. Møgelberg,#ffff00,1
Maria Paasivaara,M. Paasivaara,#00bfff,0
Sami Brandt,S. Brandt,#32CD32,0
Leon Derczynski,L. Derczynski,#32CD32,0
Jesper Bengtson,J. Bengtson,#ffff00,0
Marco Carbone,M. Carbone,#00bfff,0
Rasmus Pagh,R. Pagh,#ffff00,0
