name,abbrv,color,coauthored
Stefan Leutenegger,S. Leutenegger,#ffc0cb,1
Andrew Davison,A. Davison,#ffc0cb,1
Ben Glocker,B. Glocker,#32CD32,1
Cristian Cadar,C. Cadar,#00bfff,1
Susan Eisenbach,S. Eisenbach,#d3d3d3,1
Paul Kelly,P. Kelly,#ffc0cb,1
Nobuko Yoshida,N. Yoshida,#00bfff,0
Giuliano Casale,G. Casale,#00bfff,0
Cristiano Calcagno,C. Calcagno,#00bfff,1
Philippa Gardner,P. Gardner,#00bfff,1
Su-Lin Lee,S. Lee,#ffc0cb,1
Guang-Zhong Yang,G. Yang,#ffc0cb,1
Kin Leung,K. Leung,#00bfff,0
Tony Field,T. Field,#d3d3d3,0
Francesca Toni,F. Toni,#32CD32,0
Sergio Maffeis,S. Maffeis,#00bfff,1
Marek Sergot,M. Sergot,#ffc0cb,0
Stefanos Zafeiriou,S. Zafeiriou,#32CD32,1
Maja Pantic,M. Pantic,#32CD32,1
Abhijeet Ghosh,A. Ghosh,#ffc0cb,1
Jeff Kramer,J. Kramer,#00bfff,1
Alessandra Russo,A. Russo,#00bfff,1
Antonio Filieri,A. Filieri,#00bfff,0
Sophia Drossopoulou,S. Drossopoulou,#d3d3d3,0
Nicholas Jennings,N. Jennings,#32CD32,0
Yike Guo,Y. Guo,#ffc0cb,0
Wayne Luk,W. Luk,#ffc0cb,0
A. Faisal,A. Faisal,#ffc0cb,0
Julie McCann,J. McCann,#32CD32,0
Bernhard Kainz,B. Kainz,#ffc0cb,0
Abbas Edalat,A. Edalat,#ffff00,0
Keith Clark,K. Clark,#32CD32,0
Stephen Muggleton,S. Muggleton,#32CD32,0
 Cheraghchi,C. ,#ffff00,0
Peter Pietzuch,P. Pietzuch,#00bfff,0
Eno Thereska,E. Thereska,#00bfff,0
Daniel Rueckert,D. Rueckert,#32CD32,0
Marc Deisenroth,M. Deisenroth,#ffc0cb,0
Thomas Heinis,T. Heinis,#00bfff,0
Alessio Lomuscio,A. Lomuscio,#32CD32,0
Peter Harrison,P. Harrison,#00bfff,0
