name,abbrv,color,coauthored
Funda Ergün,F. Ergün,#ffff00,1
Süleyman Sahinalp,S. Sahinalp,#ffc0cb,1
Erik Stolterman,E. Stolterman,#ffc0cb,1
Jeffrey Bardzell,J. Bardzell,#ffc0cb,1
Shaowen Bardzell,S. Bardzell,#ffc0cb,1
Kay Connelly,K. Connelly,#ffc0cb,1
Eli Blevis,E. Blevis,#ffc0cb,1
Qin Zhang,Q. Zhang,#ffff00,1
Dirk Van Gucht,D. Van Gucht,#ffff00,1
Yuan Zhou,Y. Zhou,#ffff00,1
Shuang Wang,S. Wang,#ffc0cb,1
Xiaojing Liao,X. Liao,#00bfff,1
Luyi Xing,L. Xing,#00bfff,1
XiaoFeng Wang,X. Wang,#00bfff,1
David Crandall,D. Crandall,#32CD32,1
Katie Siek,K. Siek,#ffc0cb,1
Apu Kapadia,A. Kapadia,#00bfff,1
Michael Ryoo,M. Ryoo,#32CD32,1
Norman Su,N. Su,#ffc0cb,1
Selma Sabanovic,S. Sabanovic,#ffc0cb,0
Roni Khardon,R. Khardon,#32CD32,0
Haixu Tang,H. Tang,#ffc0cb,1
Yan Huang,Y. Huang,#00bfff,1
Daniel Leivant,D. Leivant,#ffff00,0
Ryan Newton,R. Newton,#00bfff,1
Jeremy Siek,J. Siek,#00bfff,1
Sam Tobin-Hochstadt,S. Tobin-Hochstadt,#00bfff,1
David Leake,D. Leake,#32CD32,0
Andrew Lukefahr,A. Lukefahr,#00bfff,0
Chung-chieh Shan,C. Shan,#00bfff,1
Amr Sabry,A. Sabry,#00bfff,1
Judy Qiu,J. Qiu,#00bfff,1
Geoffrey Fox,G. Fox,#00bfff,1
Yuzhen Ye,Y. Ye,#ffc0cb,1
Grigory Yaroslavtsev,G. Yaroslavtsev,#ffff00,0
Hamid Ekbia,H. Ekbia,#ffc0cb,0
Filippo Menczer,F. Menczer,#32CD32,0
Beth Plale,B. Plale,#00bfff,1
Randall Bramley,R. Bramley,#00bfff,1
Christopher Raphael,C. Raphael,#32CD32,0
L. Camp,L. Camp,#d3d3d3,0
Ryan Henry,R. Henry,#00bfff,0
D. Swany,D. Swany,#00bfff,0
Patrick Shih,P. Shih,#ffc0cb,0
Thomas Sterling,T. Sterling,#00bfff,0
Steven Myers,S. Myers,#00bfff,0
Erin Brady,E. Brady,#ffc0cb,0
