name,abbrv,color,coauthored
Wensheng Zhang,W. Zhang,#00bfff,0
Samik Basu,S. Basu,#32CD32,1
Andrew Miner,A. Miner,#d3d3d3,1
Hridesh Rajan,H. Rajan,#00bfff,1
Forrest Bao,F. Bao,#32CD32,0
Eric Rozier,E. Rozier,#32CD32,0
Borzoo Bonakdarpour,B. Bonakdarpour,#00bfff,0
Jack Lutz,J. Lutz,#ffff00,1
Robyn Lutz,R. Lutz,#d3d3d3,1
Gianfranco Ciardo,G. Ciardo,#ffc0cb,0
Myra Cohen,M. Cohen,#00bfff,0
Ying Cai,Y. Cai,#00bfff,0
Jia Liu,J. Liu,#32CD32,0
Giora Slutzki,G. Slutzki,#32CD32,0
Yan-Bin Jia,Y. Jia,#ffc0cb,0
Carl Chang,C. Chang,#d3d3d3,0
Jin Tian,J. Tian,#32CD32,0
Jeremy Sheaffer,J. Sheaffer,#00bfff,0
Oliver Eulenstein,O. Eulenstein,#ffc0cb,0
Wei Le,W. Le,#00bfff,0
