name,abbrv,color,coauthored
Mark Dredze,M. Dredze,#32CD32,1
Raman Arora,R. Arora,#32CD32,1
Benjamin Van Durme,B. Van Durme,#32CD32,1
Jason Eisner,J. Eisner,#32CD32,1
David Yarowsky,D. Yarowsky,#32CD32,1
Michael Kazhdan,M. Kazhdan,#ffc0cb,1
Russell Taylor,R. Taylor,#ffc0cb,1
Philipp Koehn,P. Koehn,#32CD32,1
René Vidal,R. Vidal,#32CD32,1
Gregory Hager,G. Hager,#ffc0cb,1
Aviel Rubin,A. Rubin,#00bfff,1
Matthew Green,M. Green,#00bfff,1
Suchi Saria,S. Saria,#32CD32,0
Peter Kazanzides,P. Kazanzides,#ffc0cb,1
Xin 0008,X. 0008,#00bfff,0
Yinzhi Cao,Y. Cao,#00bfff,0
Randal Burns,R. Burns,#00bfff,1
Joshua Vogelstein,J. Vogelstein,#32CD32,1
Yanif Ahmad,Y. Ahmad,#00bfff,1
Scott Smith,S. Smith,#d3d3d3,0
Susan Hohenberger,S. Hohenberger,#ffff00,1
Xin 0006,X. 0006,#ffff00,0
Abhishek Jain,A. Jain,#ffff00,1
Soudeh Ghorbani,S. Ghorbani,#00bfff,0
Alexis Battle,A. Battle,#32CD32,0
Vladimir Braverman,V. Braverman,#ffff00,0
Alan Yuille,A. Yuille,#32CD32,0
Yair Amir,Y. Amir,#00bfff,0
Michael Dinitz,M. Dinitz,#ffff00,0
Ben Langmead,B. Langmead,#ffc0cb,0
