name,abbrv,color,coauthored
Chin-Wan Chung,C. Chung,#00bfff,0
Jun-yong Noh,J. Noh,#ffc0cb,0
Jooyoung Lee,J. Lee,#ffff00,0
Soontae Kim,S. Kim,#00bfff,0
In-So Kweon,I. Kweon,#32CD32,1
Jean Bazin,J. Bazin,#32CD32,1
Kuk-Jin Yoon,K. Yoon,#32CD32,1
Sung-Hyon Myaeng,S. Myaeng,#32CD32,0
Kee-Eung Kim,K. Kim,#32CD32,0
Kun-Pyo Lee,K. Lee,#ffc0cb,0
Naehyuck Chang,N. Chang,#00bfff,0
Changho Suh,C. Suh,#32CD32,0
Hongseok Yang,H. Yang,#00bfff,0
Shin Yoo,S. Yoo,#00bfff,0
Sungho Jo,S. Jo,#ffc0cb,0
Jae-Gil Lee,J. Lee,#00bfff,1
Kyu-Young Whang,K. Whang,#00bfff,1
Jaehyuk Huh,J. Huh,#00bfff,1
John Kim,J. Kim,#00bfff,1
Seung Maeng,S. Maeng,#00bfff,1
In-Young Ko,I. Ko,#ffc0cb,1
Meeyoung Cha,M. Cha,#00bfff,1
Dongman Lee,D. Lee,#ffc0cb,1
Sue Moon,S. Moon,#00bfff,1
Dongsu Han,D. Han,#00bfff,1
KyoungSoo Park,K. Park,#00bfff,1
Insik Shin,I. Shin,#00bfff,1
Sung-Eui Yoon,S. Yoon,#ffc0cb,1
Junehwa Song,J. Song,#00bfff,1
Yongdae Kim,Y. Kim,#00bfff,1
Taisook Han,T. Han,#d3d3d3,0
Yung Yi,Y. Yi,#00bfff,1
Jinwoo Shin,J. Shin,#32CD32,1
Song Chong,S. Chong,#00bfff,1
Daniel Saakes,D. Saakes,#ffc0cb,1
Woontack Woo,W. Woo,#ffc0cb,1
Sung-Ju Lee,S. Lee,#00bfff,1
Juho Kim,J. Kim,#ffc0cb,1
Hyun Yang,H. Yang,#ffc0cb,0
Moonzoo Kim,M. Kim,#00bfff,0
Tek-Jin Nam,T. Nam,#ffc0cb,1
Uichin Lee,U. Lee,#ffc0cb,1
Alice Oh,A. Oh,#32CD32,0
Sukyoung Ryu,S. Ryu,#00bfff,0
Brent Kang,B. Kang,#00bfff,1
Sooel Son,S. Son,#00bfff,0
Sung-Hee Lee,S. Lee,#ffc0cb,0
Min Kim,M. Kim,#ffc0cb,0
Sung Hwang,S. Hwang,#32CD32,1
Eunho Yang,E. Yang,#32CD32,1
Geehyuk Lee,G. Lee,#ffc0cb,1
Seungwon Shin,S. Shin,#00bfff,1
Seok-Hyung Bae,S. Bae,#ffc0cb,0
Junmo Kim,J. Kim,#32CD32,0
Steven Whang,S. Whang,#00bfff,0
Sang Cha,S. Cha,#00bfff,0
Byungjoo Lee,B. Lee,#ffc0cb,0
