name,abbrv,color,coauthored
Wolfgang Heidrich,W. Heidrich,#ffc0cb,0
Robert Hoehndorf,R. Hoehndorf,#ffc0cb,0
Timothy Ravasi,T. Ravasi,#ffc0cb,0
Markus Hadwiger,M. Hadwiger,#ffc0cb,0
Bernard Ghanem,B. Ghanem,#32CD32,1
Peter Wonka,P. Wonka,#ffc0cb,1
Jesper Tegnér,J. Tegnér,#ffc0cb,0
Xiangliang Zhang,X. Zhang,#32CD32,1
David Keyes,D. Keyes,#00bfff,1
Xin Gao,X. Gao,#ffc0cb,1
Vladimir Bajic,V. Bajic,#ffc0cb,1
Panos Kalnis,P. Kalnis,#00bfff,0
Dominik Michels,D. Michels,#ffc0cb,0
Marco Canini,M. Canini,#00bfff,0
