name,abbrv,color,coauthored
Luc De Raedt,L. De Raedt,#32CD32,1
Jesse Davis,J. Davis,#32CD32,1
Vero Abeele,V. Abeele,#ffc0cb,0
Danny Hughes,D. Hughes,#00bfff,0
Raf Vandebril,R. Vandebril,#ffc0cb,0
Bruno Crispo,B. Crispo,#d3d3d3,0
Philip Dutré,P. Dutré,#ffc0cb,0
Marc Denecker,M. Denecker,#32CD32,1
Gerda Janssens,G. Janssens,#32CD32,1
Adalberto Simeone,A. Simeone,#ffc0cb,0
Tom Schrijvers,T. Schrijvers,#00bfff,0
Hendrik Blockeel,H. Blockeel,#32CD32,1
Frank Piessens,F. Piessens,#00bfff,0
Nigel Smart,N. Smart,#ffff00,0
Danny Weyns,D. Weyns,#00bfff,0
Marie-Francine Moens,M. Moens,#32CD32,0
