name,abbrv,color,coauthored
Achim Blumensath,A. Blumensath,#ffff00,0
Barbora Kozlíková,B. Kozlíková,#ffc0cb,0
Pavel Matula,P. Matula,#ffc0cb,1
David Svoboda,D. Svoboda,#ffc0cb,1
Petr Matula,P. Matula,#ffc0cb,1
Michal Kozubek,M. Kozubek,#ffc0cb,1
Daniel Král,D. Král,#ffff00,0
Jirí Sochor,J. Sochor,#ffc0cb,0
Petr Holub,P. Holub,#ffc0cb,0
Pavel Rychlý,P. Rychlý,#32CD32,0
Lubos Brim,L. Brim,#ffff00,1
Jiri Barnat,J. Barnat,#ffff00,1
Antonín Kucera,A. Kucera,#ffff00,1
Tomás Brázdil,T. Brázdil,#ffff00,1
Radek Pelánek,R. Pelánek,#d3d3d3,0
Jan Obdrzálek,J. Obdrzálek,#ffff00,1
Petr Hlinený,P. Hlinený,#ffff00,1
Jan Strejcek,J. Strejcek,#ffff00,0
Vashek Matyas,V. Matyas,#00bfff,0
