name,abbrv,color,coauthored
Jacob White,J. White,#00bfff,1
Bruce Tidor,B. Tidor,#ffc0cb,1
Victor Zue,V. Zue,#32CD32,0
Silvio Micali,S. Micali,#ffff00,1
Nickolai Zeldovich,N. Zeldovich,#00bfff,1
Constantinos Daskalakis,C. Daskalakis,#ffff00,1
Ron Weiss,R. Weiss,#ffc0cb,0
Julie Shah,J. Shah,#ffc0cb,0
Andrew Lo,A. Lo,#32CD32,1
John Guttag,J. Guttag,#32CD32,1
Charles Leiserson,C. Leiserson,#00bfff,1
Armando Solar-Lezama,A. Solar-Lezama,#00bfff,1
Adam Belay,A. Belay,#00bfff,0
Jeffrey Lang,J. Lang,#ffc0cb,0
Asuman Ozdaglar,A. Ozdaglar,#32CD32,1
Devavrat Shah,D. Shah,#32CD32,1
Pablo Parrilo,P. Parrilo,#32CD32,1
Tamara Broderick,T. Broderick,#32CD32,1
Stefanie Jegelka,S. Jegelka,#32CD32,1
William Freeman,W. Freeman,#32CD32,1
Frédo Durand,F. Durand,#ffc0cb,1
Antonio Torralba,A. Torralba,#32CD32,1
Wojciech Matusik,W. Matusik,#ffc0cb,1
Alan Willsky,A. Willsky,#32CD32,1
Gregory Wornell,G. Wornell,#32CD32,1
Berthold Horn,B. Horn,#32CD32,1
Vivienne Sze,V. Sze,#ffc0cb,0
David Karger,D. Karger,#ffc0cb,1
Rob Miller,R. Miller,#ffc0cb,1
Regina Barzilay,R. Barzilay,#32CD32,1
Hari Balakrishnan,H. Balakrishnan,#00bfff,1
Samuel Madden,S. Madden,#00bfff,1
Russ Tedrake,R. Tedrake,#ffc0cb,1
Daniela Rus,D. Rus,#ffc0cb,1
Tomás Lozano-Pérez,T. Lozano-Pérez,#ffc0cb,1
Leslie Kaelbling,L. Kaelbling,#ffc0cb,1
Muriel Médard,M. Médard,#00bfff,1
Dina Katabi,D. Katabi,#00bfff,1
Nancy Lynch,N. Lynch,#ffff00,1
Polina Golland,P. Golland,#32CD32,0
Anant Agarwal,A. Agarwal,#00bfff,1
Martin Rinard,M. Rinard,#00bfff,1
Michael Carbin,M. Carbin,#00bfff,1
Srinivas Devadas,S. Devadas,#00bfff,1
Bonnie Berger,B. Berger,#ffc0cb,1
Daniel Sánchez,D. Sánchez,#00bfff,1
Ankur Moitra,A. Moitra,#ffff00,1
Manolis Kellis,M. Kellis,#ffc0cb,0
M. Kaashoek,M. Kaashoek,#00bfff,1
John Tsitsiklis,J. Tsitsiklis,#00bfff,1
Erik Demaine,E. Demaine,#ffff00,1
Piotr Indyk,P. Indyk,#ffff00,1
Randall Davis,R. Davis,#32CD32,1
Seth Teller,S. Teller,#ffc0cb,1
Saman Amarasinghe,S. Amarasinghe,#00bfff,1
Robert Morris,R. Morris,#00bfff,1
Adam Chlipala,A. Chlipala,#00bfff,1
Peter Szolovits,P. Szolovits,#32CD32,1
Arvind ,A. ,#00bfff,1
Ronitt Rubinfeld,R. Rubinfeld,#ffff00,1
Fadel Adib,F. Adib,#00bfff,1
Barbara Liskov,B. Liskov,#00bfff,1
Tim Kraska,T. Kraska,#00bfff,1
Ronald Rivest,R. Rivest,#00bfff,0
Aleksander Madry,A. Madry,#ffff00,0
Vinod Vaikuntanathan,V. Vaikuntanathan,#ffff00,1
Max Shulaker,M. Shulaker,#00bfff,0
Justin Solomon,J. Solomon,#ffc0cb,0
Daniel Jackson,D. Jackson,#00bfff,0
Patrick Jaillet,P. Jaillet,#32CD32,0
Robert Berwick,R. Berwick,#32CD32,0
Jing Kong,J. Kong,#00bfff,0
Tommi Jaakkola,T. Jaakkola,#32CD32,1
R. Williams,R. Williams,#ffff00,1
Virginia Williams,V. Williams,#ffff00,1
Duane Boning,D. Boning,#00bfff,0
David Gifford,D. Gifford,#ffc0cb,1
Mohammad Alizadeh,M. Alizadeh,#00bfff,1
David Sontag,D. Sontag,#32CD32,1
Monia Ghobadi,M. Ghobadi,#00bfff,0
Stefanie Müller,S. Müller,#ffc0cb,0
Rahul Sarpeshkar,R. Sarpeshkar,#00bfff,1
Alexandre Megretski,A. Megretski,#00bfff,1
Luca Daniel,L. Daniel,#00bfff,1
Julian Shun,J. Shun,#00bfff,0
Nir Shavit,N. Shavit,#00bfff,0
