name,abbrv,color,coauthored
Eva Darulova,E. Darulova,#00bfff,1
Rupak Majumdar,R. Majumdar,#ffff00,1
Christian Theobalt,C. Theobalt,#ffc0cb,1
Hans-Peter Seidel,H. Seidel,#ffc0cb,1
Bernt Schiele,B. Schiele,#32CD32,1
Viktor Vafeiadis,V. Vafeiadis,#00bfff,1
Derek Dreyer,D. Dreyer,#00bfff,1
Thomas Lengauer,T. Lengauer,#ffc0cb,0
Gerhard Weikum,G. Weikum,#32CD32,1
Krishna Gummadi,K. Gummadi,#00bfff,1
Anja Feldmann,A. Feldmann,#00bfff,1
Joël Ouaknine,J. Ouaknine,#ffff00,0
Peter Druschel,P. Druschel,#00bfff,1
Deepak Garg,D. Garg,#00bfff,1
Manuel Gomez-Rodriguez,M. Gomez-Rodriguez,#32CD32,1
Eugene Myers,E. Myers,#ffc0cb,0
Björn Brandenburg,B. Brandenburg,#00bfff,0
Jonathan Mace,J. Mace,#00bfff,0
Kurt Mehlhorn,K. Mehlhorn,#ffff00,0
Christoph Weidenbach,C. Weidenbach,#ffff00,0
Karol Myszkowski,K. Myszkowski,#ffc0cb,1
Martin Vingron,M. Vingron,#ffc0cb,0
Adish Singla,A. Singla,#32CD32,0
Maria Christakis,M. Christakis,#00bfff,0
Paul Francis,P. Francis,#00bfff,1
Michael Black,M. Black,#32CD32,0
