name,abbrv,color,coauthored
Michael Hallett,M. Hallett,#ffc0cb,0
Prakash Panangaden,P. Panangaden,#ffff00,1
Doina Precup,D. Precup,#32CD32,1
Brigitte Pientka,B. Pientka,#00bfff,1
Hamed Hatami,H. Hatami,#ffff00,0
Paul Kry,P. Kry,#ffc0cb,0
Jérôme Waldispühl,J. Waldispühl,#ffc0cb,0
Bettina Kemme,B. Kemme,#00bfff,1
Jörg Kienzle,J. Kienzle,#d3d3d3,1
Mathieu Blanchette,M. Blanchette,#ffc0cb,0
Denis Thérien,D. Thérien,#ffff00,0
Derek Nowrouzezahrai,D. Nowrouzezahrai,#ffc0cb,0
Laurie Hendren,L. Hendren,#00bfff,0
Kaleem Siddiqi,K. Siddiqi,#32CD32,1
Gregory Dudek,G. Dudek,#ffc0cb,1
Jackie Cheung,J. Cheung,#32CD32,1
Bruce Reed,B. Reed,#ffff00,0
David Meger,D. Meger,#ffc0cb,1
Derek Ruths,D. Ruths,#32CD32,0
Claude Crépeau,C. Crépeau,#ffff00,0
Luc Devroye,L. Devroye,#ffff00,0
Adrian Vetta,A. Vetta,#ffff00,0
Shane McIntosh,S. McIntosh,#00bfff,0
Michael Langer,M. Langer,#32CD32,0
Xue Liu,X. Liu,#00bfff,0
Martin Robillard,M. Robillard,#00bfff,0
Xiao-Wen Chang,X. Chang,#d3d3d3,0
Clark Verbrugge,C. Verbrugge,#d3d3d3,0
Muthucumaru Maheswaran,M. Maheswaran,#d3d3d3,0
