name,abbrv,color,coauthored
Adnan Yazici,A. Yazici,#00bfff,0
Emre Akbas,E. Akbas,#32CD32,1
Fatos Yarman-Vural,F. Yarman-Vural,#32CD32,1
Erol Sahin,E. Sahin,#ffc0cb,0
Murat Manguoglu,M. Manguoglu,#ffc0cb,1
Ismail Toroslu,I. Toroslu,#ffc0cb,1
Pinar Senkul,P. Senkul,#ffc0cb,1
Sinan Kalkan,S. Kalkan,#32CD32,0
Ahmet Akyüz,A. Akyüz,#ffc0cb,0
Tolga Can,T. Can,#ffc0cb,0
Ramazan Cinbis,R. Cinbis,#32CD32,0
Uluc Saranli,U. Saranli,#ffc0cb,0
Yusuf Sahillioglu,Y. Sahillioglu,#ffc0cb,0
Ismail Altingövde,I. Altingövde,#32CD32,0
Faruk Polat,F. Polat,#32CD32,0
