name,abbrv,color,coauthored
John Grundy,J. Grundy,#00bfff,0
Bernd Meyer,B. Meyer,#d3d3d3,0
Vincent Lee,V. Lee,#32CD32,0
Cagatay Goncu,C. Goncu,#ffc0cb,1
Kim Marriott,K. Marriott,#ffc0cb,1
Michael Wybrow,M. Wybrow,#ffc0cb,1
Mark Carman,M. Carman,#32CD32,0
Judithe Sheard,J. Sheard,#d3d3d3,1
Graham Farr,G. Farr,#d3d3d3,1
Joseph Liu,J. Liu,#d3d3d3,0
Maria de la Banda,M. de la Banda,#32CD32,1
Arun Konagurthu,A. Konagurthu,#ffc0cb,1
Christopher Mears,C. Mears,#32CD32,1
Mark Wallace,M. Wallace,#ffc0cb,1
Tim Dwyer,T. Dwyer,#ffc0cb,1
Guido Tack,G. Tack,#32CD32,1
Gholamreza Haffari,G. Haffari,#32CD32,1
Ingrid Zukerman,I. Zukerman,#32CD32,1
Wray Buntine,W. Buntine,#32CD32,0
Ron Steinfeld,R. Steinfeld,#ffff00,0
Geoffrey Webb,G. Webb,#ffc0cb,1
Xin Xia,X. Xia,#d3d3d3,0
Marcel Böhme,M. Böhme,#00bfff,0
David Albrecht,D. Albrecht,#ffc0cb,0
Li Li,L. Li,#ffc0cb,0
Ariel Liebman,A. Liebman,#ffc0cb,1
David Taniar,D. Taniar,#00bfff,0
Jon Whittle,J. Whittle,#ffc0cb,0
Jan Barca,J. Barca,#ffc0cb,0
Chunyang Chen,C. Chen,#00bfff,0
Yuan-Fang Li,Y. Li,#32CD32,0
Jon McCormack,J. McCormack,#32CD32,0
