name,abbrv,color,coauthored
Chang Xu,C. Xu,#00bfff,1
Jian Lu,J. Lu,#00bfff,1
Xiaoxing Ma,X. Ma,#00bfff,1
Jinxi Zhao,J. Zhao,#32CD32,1
Shen Furao,S. Furao,#32CD32,1
Yuzhong Qu,Y. Qu,#32CD32,0
Sanglu Lu,S. Lu,#00bfff,1
Qing Gu,Q. Gu,#32CD32,1
Daoxu Chen,D. Chen,#32CD32,1
Ming 0005,M. 0005,#32CD32,1
Zhi-Hua Zhou,Z. Zhou,#32CD32,1
Baowen Xu,B. Xu,#00bfff,1
Yuming Zhou,Y. Zhou,#00bfff,1
Sheng Zhong,S. Zhong,#00bfff,0
Jianhua Zhao,J. Zhao,#00bfff,1
Linzhang Wang,L. Wang,#00bfff,1
Xuandong Li,X. Li,#32CD32,1
Wu-Jun Li,W. Li,#32CD32,1
Bing Mao,B. Mao,#00bfff,0
Yanwen Guo,Y. Guo,#ffc0cb,1
Yihua Huang,Y. Huang,#d3d3d3,0
Qingkai Zeng,Q. Zeng,#00bfff,0
Chong-Jun Wang,C. Wang,#32CD32,1
Junyuan Xie,J. Xie,#32CD32,1
Bin Luo,B. Luo,#32CD32,0
Gangshan Wu,G. Wu,#32CD32,0
XianPing Tao,X. Tao,#32CD32,1
Hao Huang,H. Huang,#00bfff,0
Jiajun Chen,J. Chen,#32CD32,1
Wan-Chun Dou,W. Dou,#d3d3d3,0
Yitong Yin,Y. Yin,#ffff00,0
Yang Gao,Y. Gao,#32CD32,0
Yuan Jiang,Y. Jiang,#32CD32,1
