name,abbrv,color,coauthored
Anupam Chattopadhyay,A. Chattopadhyay,#00bfff,0
Jie Zhang,J. Zhang,#32CD32,1
Yang Liu,Y. Liu,#00bfff,1
Siew Lam,S. Lam,#d3d3d3,1
Thambipillai Srikanthan,T. Srikanthan,#d3d3d3,1
Wentong Cai,W. Cai,#d3d3d3,1
Xueyan Tang,X. Tang,#00bfff,1
Ah-Hwee Tan,A. Tan,#32CD32,1
Chunyan Miao,C. Miao,#32CD32,1
Svetlana Obraztsova,S. Obraztsova,#32CD32,1
Zinovi Rabinovich,Z. Rabinovich,#32CD32,1
Seah Soon,S. Soon,#ffc0cb,1
Ying He,Y. He,#ffc0cb,1
Vivek Chaturvedi,V. Chaturvedi,#d3d3d3,0
Arvind Easwaran,A. Easwaran,#00bfff,0
Lin Feng,L. Feng,#ffc0cb,0
Yonggang Wen,Y. Wen,#32CD32,0
Xavier Bresson,X. Bresson,#32CD32,0
Chng Siong,C. Siong,#32CD32,0
Kemao Qian,K. Qian,#32CD32,0
Yiping Ke,Y. Ke,#00bfff,1
Yew-Soon Ong,Y. Ong,#32CD32,1
Bo An,B. An,#32CD32,1
Han Yu,H. Yu,#32CD32,1
Gao Cong,G. Cong,#00bfff,1
Douglas Maskell,D. Maskell,#ffc0cb,0
Alwen Tiu,A. Tiu,#00bfff,1
Shang-Wei Lin,S. Lin,#00bfff,1
Tat-Jen Cham,T. Cham,#32CD32,1
Liang-Tien Chia,L. Chia,#32CD32,1
Jianfei Cai,J. Cai,#32CD32,1
Syin Chan,S. Chan,#32CD32,1
Erik Cambria,E. Cambria,#32CD32,1
Aixin Sun,A. Sun,#32CD32,1
Jie Zheng,J. Zheng,#ffc0cb,0
Anwitaman Datta,A. Datta,#32CD32,1
Bu-Sung Lee,B. Lee,#00bfff,1
Deepu Rajan,D. Rajan,#32CD32,0
Chengzheng Sun,C. Sun,#d3d3d3,1
Mo Li,M. Li,#00bfff,1
Adams Kong,A. Kong,#32CD32,0
Arijit Khan,A. Khan,#00bfff,0
Weisi Lin,W. Lin,#ffc0cb,0
Jagath Rajapakse,J. Rajapakse,#ffc0cb,1
Wen-Jing Hsu,W. Hsu,#ffc0cb,1
Wooi-Boon Goh,W. Goh,#ffc0cb,0
Chiew Lau,C. Lau,#00bfff,0
Xiaoli Li,X. Li,#32CD32,1
Chee Kwoh,C. Kwoh,#ffc0cb,1
Sundaram Suresh,S. Suresh,#32CD32,0
Wee Ng,W. Ng,#32CD32,0
Siu Hui,S. Hui,#32CD32,0
Shafiq Joty,S. Joty,#32CD32,0
Sinno Pan,S. Pan,#32CD32,0
Rui Tan,R. Tan,#00bfff,0
Jianmin Zheng,J. Zheng,#ffc0cb,1
Jun Luo,J. Luo,#ffc0cb,1
