name,abbrv,color,coauthored
Yi-Ping Hung,Y. Hung,#ffc0cb,1
Mike Chen,M. Chen,#ffc0cb,1
Ming-Sui Lee,M. Lee,#ffc0cb,1
Bing-Yu Chen,B. Chen,#ffc0cb,1
Yen-Jen Oyang,Y. Oyang,#ffc0cb,0
Chiou-Shann Fuh,C. Fuh,#32CD32,0
Yung-Yu Chuang,Y. Chuang,#32CD32,1
Ouhyoung Ming,O. Ming,#ffc0cb,1
Winston Hsu,W. Hsu,#32CD32,1
Hsuan-Tien Lin,H. Lin,#32CD32,1
Shih-Wei Liao,S. Liao,#00bfff,0
Yun-Nung Chen,Y. Chen,#32CD32,0
Hsin-Hsi Chen,H. Chen,#32CD32,0
Shou-De Lin,S. Lin,#32CD32,0
Chia-Lin Yang,C. Yang,#00bfff,1
Chih-Wen Hsueh,C. Hsueh,#00bfff,1
Tei-Wei Kuo,T. Kuo,#00bfff,1
Chi-Sheng Shih,C. Shih,#00bfff,1
Shih-Hao Hung,S. Hung,#d3d3d3,1
Hsueh-I Lu,H. Lu,#ffff00,1
Jonathan Lee,J. Lee,#00bfff,0
Tony Tan,T. Tan,#ffff00,0
Wei-Chung Hsu,W. Hsu,#00bfff,0
Gen-Huey Chen,G. Chen,#d3d3d3,0
Hsin-Mu Tsai,H. Tsai,#00bfff,0
Chih-Jen Lin,C. Lin,#32CD32,0
Li-Chen Fu,L. Fu,#ffc0cb,0
Kun-Mao Chao,K. Chao,#ffc0cb,0
Hsu-Chun Hsiao,H. Hsiao,#00bfff,0
Pu-Jen Cheng,P. Cheng,#32CD32,0
Pangfeng Liu,P. Liu,#00bfff,0
Feipei Lai,F. Lai,#00bfff,0
