name,abbrv,color,coauthored
Wei-Kuan Shih,W. Shih,#00bfff,0
Hao-Chuan Wang,H. Wang,#ffc0cb,0
Chun-Yao Wang,C. Wang,#00bfff,0
Shan-Hung Wu,S. Wu,#32CD32,0
Chaur-Chin Chen,C. Chen,#ffc0cb,0
Pai Chou,P. Chou,#00bfff,0
Chih-Tsun Huang,C. Huang,#00bfff,0
Wing-Kai Hon,W. Hon,#00bfff,0
Tsung-Yi Ho,T. Ho,#00bfff,0
Jason Chang,J. Chang,#32CD32,0
Wai-Kei Mak,W. Mak,#00bfff,1
Ren-Song Tsay,R. Tsay,#00bfff,1
Ting-Chi Wang,T. Wang,#00bfff,1
Chih-Ya Shen,C. Shen,#32CD32,0
Hwann-Tzong Chen,H. Chen,#32CD32,1
Shang-Hong Lai,S. Lai,#32CD32,1
Che-Rung Lee,C. Lee,#d3d3d3,0
Shih-Chieh Chang,S. Chang,#00bfff,0
Chung-Ta King,C. King,#00bfff,0
Hung-Kuo Chu,H. Chu,#ffc0cb,0
Hung-Min Sun,H. Sun,#00bfff,0
Chun-Yi Lee,C. Lee,#00bfff,0
Chiou-Ting Hsu,C. Hsu,#32CD32,0
Cheng-Hsin Hsu,C. Hsu,#d3d3d3,0
