name,abbrv,color,coauthored
Martin Henz,M. Henz,#32CD32,0
Tze-Yun Leong,T. Leong,#32CD32,0
Joxan Jaffar,J. Jaffar,#ffff00,0
Bingsheng He,B. He,#00bfff,1
Kian-Lee Tan,K. Tan,#00bfff,1
Aquinas Hobor,A. Hobor,#00bfff,1
Prateek Saxena,P. Saxena,#00bfff,1
Colin Tan,C. Tan,#ffc0cb,1
Kian Low,K. Low,#32CD32,1
Wing-Kin Sung,W. Sung,#ffc0cb,1
See-Kiong Ng,S. Ng,#32CD32,1
Limsoon Wong,L. Wong,#ffc0cb,1
Kuldeep Meel,K. Meel,#32CD32,0
Ben Leong,B. Leong,#00bfff,1
Mun Chan,M. Chan,#00bfff,1
Zhenkai Liang,Z. Liang,#00bfff,1
Abhik Roychoudhury,A. Roychoudhury,#00bfff,1
Anand Bhojan,A. Bhojan,#00bfff,1
Weng-Fai Wong,W. Wong,#00bfff,1
Beng Ooi,B. Ooi,#00bfff,1
Tulika Mitra,T. Mitra,#00bfff,1
Jin Dong,J. Dong,#00bfff,1
Chee Chan,C. Chan,#00bfff,1
Anthony Tung,A. Tung,#00bfff,1
Tiow Tan,T. Tan,#ffc0cb,0
Djordje Jevdjic,D. Jevdjic,#00bfff,0
Terence Sim,T. Sim,#32CD32,0
Divesh Aggarwal,D. Aggarwal,#ffff00,0
Yair Zick,Y. Zick,#32CD32,0
Mohan Kankanhalli,M. Kankanhalli,#32CD32,1
Li-Shiuan Peh,L. Peh,#00bfff,1
Rahul Jain,R. Jain,#ffff00,0
Yong Teo,Y. Teo,#00bfff,1
Damith Rajapakse,D. Rajapakse,#00bfff,0
Tsuhan Chen,T. Chen,#32CD32,0
Wee Lee,W. Lee,#32CD32,1
David Hsu,D. Hsu,#ffc0cb,1
Hwee Ng,H. Ng,#32CD32,1
Shengdong Zhao,S. Zhao,#ffc0cb,1
Tat-Seng Chua,T. Chua,#32CD32,1
Bryan Low,B. Low,#32CD32,1
Wei Ooi,W. Ooi,#00bfff,0
Y. Tay,Y. Tay,#00bfff,1
Ee-Chien Chang,E. Chang,#00bfff,1
Richard B.,R. B.,#32CD32,0
Min-Yen Kan,M. Kan,#32CD32,1
Stéphane Bressan,S. Bressan,#00bfff,0
Wai Leong,W. Leong,#32CD32,1
Wee Leow,W. Leow,#32CD32,1
Siau-Cheng Khoo,S. Khoo,#00bfff,1
Wei-Ngan Chin,W. Chin,#ffff00,1
Roland Yap,R. Yap,#32CD32,0
Haifeng Yu,H. Yu,#00bfff,0
Min Kang,M. Kang,#00bfff,0
Wynne Hsu,W. Hsu,#32CD32,1
Mong-Li Lee,M. Lee,#32CD32,1
Seth Gilbert,S. Gilbert,#ffff00,1
Harold Soh,H. Soh,#ffc0cb,0
Tok Ling,T. Ling,#00bfff,0
Sanjay Jain,S. Jain,#ffff00,0
Brian Lim,B. Lim,#ffc0cb,0
Gim Lee,G. Lee,#ffc0cb,0
David Rosenblum,D. Rosenblum,#00bfff,0
Jonathan Scarlett,J. Scarlett,#32CD32,0
Xiaokui Xiao,X. Xiao,#00bfff,0
Trevor Carlson,T. Carlson,#00bfff,0
Reza Shokri,R. Shokri,#00bfff,0
