name,abbrv,color,coauthored
Marsha Berger,M. Berger,#d3d3d3,0
Joseph Bonneau,J. Bonneau,#00bfff,0
Michael Walfish,M. Walfish,#00bfff,1
Siddharth Garg,S. Garg,#00bfff,1
Thomas Wies,T. Wies,#ffff00,1
Julian Togelius,J. Togelius,#32CD32,1
Andrew Nealen,A. Nealen,#ffc0cb,1
Anirudh Sivaraman,A. Sivaraman,#00bfff,0
Benjamin Goldberg,B. Goldberg,#ffc0cb,0
Subhash Khot,S. Khot,#ffff00,0
Damon McCoy,D. McCoy,#00bfff,0
Brendan Dolan-Gavitt,B. Dolan-Gavitt,#00bfff,1
Justin Cappos,J. Cappos,#00bfff,1
Torsten Suel,T. Suel,#32CD32,0
Yevgeniy Dodis,Y. Dodis,#ffff00,1
Richard Cole,R. Cole,#ffff00,1
Victor Shoup,V. Shoup,#ffff00,1
Cláudio Silva,C. Silva,#ffc0cb,1
Juliana Freire,J. Freire,#ffc0cb,1
Enrico Bertini,E. Bertini,#ffc0cb,1
Richard Bonneau,R. Bonneau,#ffc0cb,1
Denis Zorin,D. Zorin,#ffc0cb,1
Daniele Panozzo,D. Panozzo,#ffc0cb,1
Boris Aronov,B. Aronov,#ffff00,0
Helen Nissenbaum,H. Nissenbaum,#ffc0cb,0
Clark Barrett,C. Barrett,#ffff00,1
Ken Perlin,K. Perlin,#ffc0cb,0
He He,H. He,#32CD32,0
Mehryar Mohri,M. Mohri,#32CD32,0
Ramesh Karri,R. Karri,#00bfff,1
Samuel Bowman,S. Bowman,#32CD32,0
Ernest Davis,E. Davis,#32CD32,0
Guido Gerig,G. Gerig,#32CD32,0
Chee-Keng Yap,C. Yap,#ffc0cb,0
Julia Stoyanovich,J. Stoyanovich,#00bfff,0
Joan Bruna,J. Bruna,#32CD32,0
Rumi Chunara,R. Chunara,#d3d3d3,0
Oded Regev,O. Regev,#ffff00,0
Patrick Cousot,P. Cousot,#00bfff,0
Dennis Shasha,D. Shasha,#ffc0cb,1
Yi-Jen Chiang,Y. Chiang,#ffc0cb,0
Joel Spencer,J. Spencer,#ffff00,0
Edward Wong,E. Wong,#32CD32,0
Davi Geiger,D. Geiger,#32CD32,0
Nasir Memon,N. Memon,#32CD32,0
Jinyang Li,J. Li,#00bfff,1
Lakshminarayanan Subramanian,L. Subramanian,#00bfff,1
Bud Mishra,B. Mishra,#ffc0cb,0
Ralph Grishman,R. Grishman,#32CD32,0
Lisa Hellerstein,L. Hellerstein,#ffff00,0
