name,abbrv,color,coauthored
Robert St. Amant,R. St. Amant,#ffc0cb,1
Christopher Healey,C. Healey,#ffc0cb,1
Khaled Harfoush,K. Harfoush,#00bfff,1
George Rouskas,G. Rouskas,#00bfff,1
Alexandros Kapravelos,A. Kapravelos,#00bfff,0
Nagiza Samatova,N. Samatova,#00bfff,0
Robert Rodman,R. Rodman,#d3d3d3,1
Matthias Stallmann,M. Stallmann,#d3d3d3,1
William Enck,W. Enck,#00bfff,1
Bradley Reaves,B. Reaves,#00bfff,1
Douglas Reeves,D. Reeves,#00bfff,1
Kristy Boyer,K. Boyer,#32CD32,1
James Lester,J. Lester,#32CD32,1
Collin Lynch,C. Lynch,#d3d3d3,1
Chris Parnin,C. Parnin,#00bfff,1
Emerson Murphy-Hill,E. Murphy-Hill,#00bfff,1
Alessandra Scafuro,A. Scafuro,#ffff00,0
Munindar Singh,M. Singh,#32CD32,1
Laurie Williams,L. Williams,#00bfff,1
Jon Doyle,J. Doyle,#32CD32,1
Rada Chirkova,R. Chirkova,#00bfff,1
Kathryn Stolee,K. Stolee,#00bfff,0
David Roberts,D. Roberts,#32CD32,0
Xipeng Shen,X. Shen,#00bfff,0
Arnav Jhala,A. Jhala,#32CD32,0
Vincent Freeh,V. Freeh,#00bfff,0
Xiaohui Gu,X. Gu,#00bfff,1
Anupam Das,A. Das,#32CD32,0
Guoliang Jin,G. Jin,#00bfff,0
Tim Menzies,T. Menzies,#00bfff,0
Tiffany Barnes,T. Barnes,#d3d3d3,0
Benjamin Watson,B. Watson,#ffc0cb,0
Min Chi,M. Chi,#d3d3d3,0
Harry Perros,H. Perros,#d3d3d3,0
Edward Gehringer,E. Gehringer,#d3d3d3,0
Mladen Vouk,M. Vouk,#00bfff,0
Hung-Wei Tseng,H. Tseng,#00bfff,0
Frank Mueller,F. Mueller,#00bfff,0
Muhammad Shahzad,M. Shahzad,#00bfff,0
