name,abbrv,color,coauthored
Fabián Bustamante,F. Bustamante,#00bfff,1
Aleksandar Kuzmanovic,A. Kuzmanovic,#00bfff,1
Brenna Argall,B. Argall,#ffc0cb,0
Qi Zhu,Q. Zhu,#00bfff,0
Russ Joseph,R. Joseph,#00bfff,1
Jie Gu,J. Gu,#00bfff,1
Robert Findler,R. Findler,#00bfff,1
Ming-Yang Kao,M. Kao,#00bfff,1
Yan Chen,Y. Chen,#00bfff,1
Brent Hecht,B. Hecht,#ffc0cb,1
Doug Downey,D. Downey,#32CD32,1
Darren Gergle,D. Gergle,#ffc0cb,1
Michael Horn,M. Horn,#ffc0cb,1
Jessica Hullman,J. Hullman,#ffc0cb,1
Jason Hartline,J. Hartline,#ffff00,0
Seda Memik,S. Memik,#00bfff,1
Gokhan Memik,G. Memik,#00bfff,1
Nikolaos Hardavellas,N. Hardavellas,#00bfff,1
Josiah Hester,J. Hester,#00bfff,0
Kenneth Forbus,K. Forbus,#32CD32,1
Christopher Riesbeck,C. Riesbeck,#32CD32,1
Lawrence Birnbaum,L. Birnbaum,#32CD32,1
Oliver Cossairt,O. Cossairt,#ffc0cb,0
Simone Campanoni,S. Campanoni,#00bfff,0
Haoqi Zhang,H. Zhang,#ffc0cb,0
Peter Scheuermann,P. Scheuermann,#00bfff,1
Goce Trajcevski,G. Trajcevski,#32CD32,1
Hai Zhou,H. Zhou,#00bfff,1
Michael Rubenstein,M. Rubenstein,#ffc0cb,0
Anindya De,A. De,#ffff00,0
Alok Choudhary,A. Choudhary,#00bfff,1
Peter Dinda,P. Dinda,#00bfff,1
Jack Tumblin,J. Tumblin,#ffc0cb,0
Christos Dimoulas,C. Dimoulas,#00bfff,1
Han Liu,H. Liu,#32CD32,1
Zhaoran Wang,Z. Wang,#32CD32,1
Konstantin Makarychev,K. Makarychev,#ffff00,1
Aravindan Vijayaraghavan,A. Vijayaraghavan,#ffff00,1
Jennie Duggan,J. Duggan,#00bfff,0
Eleanor O'Rourke,E. O'Rourke,#ffc0cb,0
Aggelos Katsaggelos,A. Katsaggelos,#32CD32,0
Anne Piper,A. Piper,#ffc0cb,0
