name,abbrv,color,coauthored
Yang 0009,Y. 0009,#00bfff,0
Christopher Stewart,C. Stewart,#00bfff,0
Tamal Dey,T. Dey,#ffff00,1
Rephael Wenger,R. Wenger,#ffc0cb,1
Yusu Wang,Y. Wang,#ffff00,1
Huamin Wang,H. Wang,#ffc0cb,1
Facundo Mémoli,F. Mémoli,#32CD32,1
Eric Fosler-Lussier,E. Fosler-Lussier,#32CD32,0
Han-Wei Shen,H. Shen,#ffc0cb,1
Dong Xuan,D. Xuan,#00bfff,0
DeLiang Wang,D. Wang,#32CD32,0
Yinqian Zhang,Y. Zhang,#00bfff,1
Radu Teodorescu,R. Teodorescu,#00bfff,1
Arnab Nandi,A. Nandi,#00bfff,0
Anish Arora,A. Arora,#00bfff,1
Kannan Srinivasan,K. Srinivasan,#00bfff,1
Feng Qin,F. Qin,#00bfff,1
Atanas Rountev,A. Rountev,#00bfff,1
Michael Bond,M. Bond,#00bfff,1
Dhabaleswar Panda,D. Panda,#00bfff,1
P. Sadayappan,P. Sadayappan,#00bfff,1
Srinivasan Parthasarathy,S. Parthasarathy,#32CD32,1
Neelam Soundarajan,N. Soundarajan,#00bfff,0
Ten-Hwang Lai,T. Lai,#00bfff,0
Alan Ritter,A. Ritter,#32CD32,1
Wei Xu,W. Xu,#32CD32,1
Mikhail Belkin,M. Belkin,#32CD32,1
Xiaodong Zhang,X. Zhang,#00bfff,1
Gagan Agrawal,G. Agrawal,#00bfff,1
Paolo Sivilotti,P. Sivilotti,#d3d3d3,0
Zhiqiang Lin,Z. Lin,#00bfff,0
Luis Rademacher,L. Rademacher,#ffff00,1
Prasun Sinha,P. Sinha,#00bfff,1
Ness Shroff,N. Shroff,#00bfff,1
Yu Su,Y. Su,#32CD32,1
Huan Sun,H. Sun,#32CD32,1
Raghu Machiraju,R. Machiraju,#ffc0cb,0
Spyros Blanas,S. Blanas,#00bfff,1
