name,abbrv,color,coauthored
Martin Erwig,M. Erwig,#00bfff,1
Eric Walkingshaw,E. Walkingshaw,#d3d3d3,1
Prasad Tadepalli,P. Tadepalli,#32CD32,1
Xiaoli Fern,X. Fern,#32CD32,1
Alan Fern,A. Fern,#32CD32,1
Liang Huang,L. Huang,#32CD32,1
Patrick Chiang,P. Chiang,#00bfff,0
Carlos Jensen,C. Jensen,#ffc0cb,0
Attila Yavuz,A. Yavuz,#d3d3d3,0
Weng-Keen Wong,W. Wong,#32CD32,1
Rebecca Hutchinson,R. Hutchinson,#32CD32,1
Raviv Raich,R. Raich,#32CD32,1
Margaret Burnett,M. Burnett,#ffc0cb,1
Kartikeya Mayaram,K. Mayaram,#00bfff,1
Un-Ku Moon,U. Moon,#00bfff,1
Amir Nayyeri,A. Nayyeri,#ffff00,0
Eugene Zhang,E. Zhang,#ffc0cb,1
Yue 0009,Y. 0009,#ffc0cb,1
Sinisa Todorovic,S. Todorovic,#32CD32,1
Arash Termehchy,A. Termehchy,#00bfff,1
Julie Adams,J. Adams,#ffc0cb,0
Christopher Scaffidi,C. Scaffidi,#ffc0cb,1
Anita Sarma,A. Sarma,#00bfff,1
Glencora Borradaile,G. Borradaile,#ffff00,1
Yeongjin Jang,Y. Jang,#00bfff,0
Lizhong Chen,L. Chen,#00bfff,0
Mike Rosulek,M. Rosulek,#ffff00,0
Fuxin Li,F. Li,#32CD32,0
Danny Dig,D. Dig,#00bfff,0
Rakesh Bobba,R. Bobba,#00bfff,0
