name,abbrv,color,coauthored
Seungmoon Choi,S. Choi,#ffc0cb,1
Bohyung Han,B. Han,#32CD32,1
Minsoo Rhu,M. Rhu,#00bfff,1
Hanjun Kim,H. Kim,#00bfff,1
Seungjin Choi,S. Choi,#32CD32,1
Jong Kim,J. Kim,#00bfff,1
Chanik Park,C. Park,#00bfff,0
Sungwoo Park,S. Park,#00bfff,0
Hwanjo Yu,H. Yu,#32CD32,1
Wook-Shin Han,W. Han,#00bfff,1
Hee-Kap Ahn,H. Ahn,#32CD32,1
Joon Han,J. Han,#32CD32,1
Jong-Hyeok Lee,J. Lee,#32CD32,0
Minsu Cho,M. Cho,#32CD32,1
Gary Lee,G. Lee,#32CD32,0
Daijin Kim,D. Kim,#ffc0cb,0
Kyungmin Bae,K. Bae,#ffff00,0
Seungyong Lee,S. Lee,#ffc0cb,0
