name,abbrv,color,coauthored
Webb Miller,W. Miller,#ffc0cb,0
Mahmut Kandemir,M. Kandemir,#00bfff,1
Anand Sivasubramaniam,A. Sivasubramaniam,#00bfff,1
Chita Das,C. Das,#00bfff,1
Mary Irwin,M. Irwin,#00bfff,1
Narayanan Vijaykrishnan,N. Vijaykrishnan,#00bfff,1
Jack Sampson,J. Sampson,#00bfff,1
Dinghao Wu,D. Wu,#00bfff,1
Peng 0005,P. 0005,#00bfff,1
Sencun Zhu,S. Zhu,#00bfff,1
Peng Liu,P. Liu,#ffc0cb,1
Danfeng Zhang,D. Zhang,#00bfff,1
Wang-Chien Lee,W. Lee,#32CD32,1
Zhenhui Li,Z. Li,#32CD32,1
C. Giles,C. Giles,#32CD32,1
Daniel Kifer,D. Kifer,#00bfff,1
Yanxi Liu,Y. Liu,#32CD32,1
Robert Collins,R. Collins,#32CD32,1
Xinyu Xing,X. Xing,#00bfff,1
Trent Jaeger,T. Jaeger,#00bfff,1
George Kesidis,G. Kesidis,#00bfff,1
Bhuvan Urgaonkar,B. Urgaonkar,#00bfff,1
Jesse Barlow,J. Barlow,#32CD32,0
Piotr Berman,P. Berman,#ffff00,1
Linhai Song,L. Song,#00bfff,0
Nan Zhang,N. Zhang,#00bfff,0
Patrick McDaniel,P. McDaniel,#00bfff,1
Thomas La Porta,T. La Porta,#00bfff,1
Gang Tan,G. Tan,#00bfff,1
Guohong Cao,G. Cao,#00bfff,1
Martin Fürer,M. Fürer,#ffff00,0
Kamesh Madduri,K. Madduri,#00bfff,0
Sean Hallgren,S. Hallgren,#ffff00,0
Paul Medvedev,P. Medvedev,#ffc0cb,0
John Carroll,J. Carroll,#ffc0cb,0
